prob_start,prob_end,prob_midpoint,count,actual_ats_pct,roi,cal_error
0.5,0.51,0.505,440,0.5227272727272727,-0.15909090909090873,0.017727272727272703
0.51,0.52,0.515,594,0.49326599326599324,-5.786195286195284,0.021734006734006772
0.52,0.53,0.525,231,0.5281385281385281,0.8744588744588722,0.003138528138528107
0.53,0.54,0.535,40,0.5,-4.499999999999998,0.03500000000000003
0.54,0.55,0.545,2,1.0,91.0,0.45499999999999996
0.55,0.56,0.555,2,0.0,-100.0,0.555
0.56,0.5700000000000001,0.5650000000000001,1,0.0,-100.0,0.5650000000000001
0.5700000000000001,0.5800000000000001,0.5750000000000001,1,1.0,91.0,0.42499999999999993
0.6000000000000001,0.6100000000000001,0.6050000000000001,1,1.0,91.0,0.3949999999999999
0.6300000000000001,0.6400000000000001,0.6350000000000001,2,1.0,91.0,0.3649999999999999
0.6500000000000001,0.6600000000000001,0.6550000000000001,1,0.0,-100.0,0.6550000000000001
