filter,n_games,pct_of_total,ats_acc,roi,z_score,profit_per_100
Home Favored,786,59.77186311787073,58.14249363867684,11.052162849872776,4.565608800041098,86.87000000000002
Away Favored,529,40.22813688212928,37.80718336483932,-27.788279773156894,-5.608695652173913,-146.99999999999997
Model Picks Home,623,47.37642585551331,48.796147672552166,-6.799357945425358,-0.6009623101612529,-42.359999999999985
Model Picks Away,692,52.623574144486696,51.01156069364162,-2.567919075144505,0.5322001448887939,-17.769999999999975
Tiny (<2.5),155,11.787072243346007,44.516129032258064,-14.974193548387094,-1.365472859134248,-23.209999999999994
Small (2.5-5.5),373,28.365019011406844,47.18498659517426,-9.876675603217155,-1.0873387834648451,-36.83999999999999
Medium (5.5-8.5),351,26.692015209125476,52.991452991452995,1.2136752136752174,1.1208970766356101,4.260000000000013
Large (8.5+),436,33.155893536121674,51.8348623853211,-0.9954128440366941,0.7662610281769211,-4.3399999999999865
Low (50-55%),421,32.01520912547529,48.69358669833729,-6.995249406175767,-0.5361071967114373,-29.449999999999978
Medium (55-65%),713,54.22053231939164,48.94810659186536,-6.509116409537164,-0.5617544147048537,-46.40999999999998
High (65-75%),170,12.927756653992395,56.470588235294116,7.858823529411768,1.687322975464215,13.360000000000005
Home Fav + Pick Home,359,27.300380228136884,57.938718662952645,10.662952646239557,3.0083449396247794,38.28000000000001
Home Fav + Pick Away,427,32.471482889733835,58.31381733021077,11.379391100702579,3.4359308213203734,48.59000000000001
Away Fav + Pick Home,264,20.076045627376427,36.36363636363637,-30.545454545454543,-4.431293675255978,-80.63999999999999
Away Fav + Pick Away,265,20.15209125475285,39.24528301886793,-25.04150943396226,-3.501482165953522,-66.35999999999999
Home Fav + Small Spread,200,15.209125475285171,52.0,-0.6799999999999962,0.565685424949238,-1.3599999999999923
Home Fav + Med Spread,211,16.045627376425855,62.55924170616114,19.488151658767773,3.6486704713540257,41.12
Home Fav + Large Spread,299,22.73764258555133,60.200668896321076,14.983277591973248,3.5277210849940652,44.80000000000001
Away Fav + Small Spread,173,13.155893536121674,41.61849710982659,-20.50867052023121,-2.204829171682146,-35.47999999999999
Away Fav + Med Spread,140,10.646387832699618,38.57142857142858,-26.328571428571422,-2.704493615131253,-36.85999999999999
Away Fav + Large Spread,137,10.418250950570341,33.57664233576642,-35.86861313868612,-3.844609459725424,-49.13999999999999
Pick Home + High Conf,58,4.410646387832699,51.724137931034484,-1.2068965517241346,0.2626128657194451,-0.699999999999998
Pick Away + High Conf,112,8.517110266159696,58.92857142857143,12.553571428571434,1.889822365046136,14.060000000000008
Home Fav + Pick Home + Small Spread,24,1.8250950570342206,58.333333333333336,11.416666666666668,0.8164965809277261,2.74
Home Fav + Pick Home + Med Spread,21,1.596958174904943,61.904761904761905,18.23809523809524,1.091089451179962,3.8300000000000005
Home Fav + Pick Home + Large Spread,60,4.562737642585551,70.0,33.7,3.0983866769659336,20.220000000000002
Home Fav + Pick Away + Small Spread,50,3.802281368821293,62.0,18.42,1.697056274847714,9.21
Home Fav + Pick Away + Med Spread,58,4.410646387832699,63.793103448275865,21.844827586206897,2.1009029257555607,12.67
Home Fav + Pick Away + Large Spread,65,4.942965779467681,73.84615384615385,41.04615384615384,3.8450767722654624,26.679999999999996
