date,regime,model_used,ratio_deff,std_deff,consecutive_high,games,correct,ats_pct
2025-10-21,unknown,champion,,,0,2,0,0.0
2025-10-22,unknown,champion,,,0,12,6,50.0
2025-10-23,unknown,champion,,,0,2,2,100.0
2025-10-24,unknown,champion,,,0,12,6,50.0
2025-10-25,unknown,champion,,,0,5,2,40.0
2025-10-26,unknown,champion,,,0,9,6,66.66666666666667
2025-10-27,unknown,champion,,,0,11,6,54.54545454545455
2025-10-28,unknown,champion,,,0,5,3,60.0
2025-10-29,unknown,champion,,,0,10,7,70.0
2025-10-30,unknown,champion,,,0,4,2,50.0
2025-10-31,unknown,champion,,,0,8,6,75.0
2025-11-01,unknown,champion,,,0,5,4,80.0
2025-11-02,unknown,champion,,,0,8,4,50.0
2025-11-03,unknown,champion,,,0,9,5,55.55555555555556
2025-11-04,unknown,champion,,,0,6,3,50.0
2025-11-05,unknown,champion,,,0,11,3,27.272727272727273
2025-11-06,unknown,champion,,,0,1,0,0.0
2025-11-07,unknown,champion,,,0,11,8,72.72727272727273
2025-11-08,elevated,champion,1.253811297903429,4.225344073934556,0,8,3,37.5
2025-11-09,elevated,champion,1.24551341345581,4.197380203346079,0,7,4,57.142857142857146
2025-11-10,elevated,champion,1.3270831981547273,4.472270377781431,1,9,7,77.77777777777777
2025-11-11,elevated,champion,1.3018670261827539,4.387291878235881,2,6,5,83.33333333333333
2025-11-12,elevated,champion,1.3091884982420554,4.411965239075727,3,12,8,66.66666666666667
2025-11-13,elevated,champion,1.3886943951469704,4.67990011164529,4,3,1,33.333333333333336
2025-11-14,high,context,1.3974280375259414,4.709332486462422,5,9,6,66.66666666666667
2025-11-15,high,context,1.3449725191769155,4.532557389626206,6,5,1,20.0
2025-11-16,high,context,1.3529653388826992,4.559493192034696,7,8,6,75.0
2025-11-17,high,context,1.3214837271911206,4.453400160634077,8,8,5,62.5
2025-11-18,high,context,1.313331512911315,4.425927198511132,9,6,3,50.0
2025-11-19,high,context,1.3171895764962687,4.438928872792426,10,9,4,44.44444444444444
2025-11-20,high,context,1.3268675599969613,4.47154367718976,11,4,1,25.0
2025-11-21,high,context,1.332684232434499,4.491145863304261,12,9,5,55.55555555555556
2025-11-22,high,context,1.3404882521119772,4.5174454096173635,13,7,5,71.42857142857143
2025-11-23,high,context,1.334163492872434,4.4961309709801025,14,8,4,50.0
