Metric,Current,Baseline,Std Dev,Difference,Z-Score,Trend,Season_Change,Acceleration,Status,Unit,Model_Feature,Priority,IntraSeason
Pace,205.76141176470588,201.6888907851663,1.029492608867732,4.072520979539576,3.9558525670414095,Decreasing,-6.187159663865572,Accelerating upward,🚨 CRITICAL,poss/gm,True,HIGH,"{'early_value': 211.94857142857146, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 205.76141176470588, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': -6.187159663865572, 'season_change_pct': -2.9191796963588876, 'recent_slope': -0.03467948654745605, 'recent_trend': 'Decreasing', 'recent_std': 0.12268723399829136, 'recent_min': 205.76141176470588, 'recent_max': 206.22190114068442, 'moving_avg_3': 205.87099791084597, 'moving_avg_5': 205.9329646990264, 'inflection_point': None, 'acceleration': 'Accelerating upward'}"
Turnover Rate,12.47799664818608,11.817205498398646,0.18002122261258677,0.6607911497874337,3.6706291635930284,Decreasing,-0.8491224399038924,Accelerating upward,🚨 CRITICAL,%,True,HIGH,"{'early_value': 13.327119088089972, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 12.47799664818608, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': -0.8491224399038924, 'season_change_pct': -6.371387801754742, 'recent_slope': -0.01500085291503522, 'recent_trend': 'Decreasing', 'recent_std': 0.04755295825637013, 'recent_min': 12.45559105327668, 'recent_max': 12.586491746959327, 'moving_avg_3': 12.464508513405773, 'moving_avg_5': 12.47584230105452, 'inflection_point': Timestamp('2025-10-21 00:00:00'), 'inflection_games': 2, 'inflection_value': 14.714537963507945, 'acceleration': 'Accelerating upward'}"
Defensive Rebound Rate,73.82581857219537,76.21354113104967,1.1310293237195856,-2.3877225588542927,-2.111105794323576,Increasing,-0.7511354971035757,Accelerating upward,🚨 CRITICAL,%,True,HIGH,"{'early_value': 74.57695406929895, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 73.82581857219537, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': -0.7511354971035757, 'season_change_pct': -1.0071951938471502, 'recent_slope': 0.02660539583129281, 'recent_trend': 'Increasing', 'recent_std': 0.08799167919281059, 'recent_min': 73.54389185580774, 'recent_max': 73.82581857219537, 'moving_avg_3': 73.74870830979, 'moving_avg_5': 73.70297887388662, 'inflection_point': None, 'acceleration': 'Accelerating upward'}"
Offensive Rebound Rate,26.174181427804616,23.78645886895034,1.1310293237195834,2.387722558854275,2.1111057943235645,Decreasing,0.7511354971035651,Decelerating / reversing,🚨 CRITICAL,%,True,HIGH,"{'early_value': 25.42304593070105, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 26.174181427804616, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': 0.7511354971035651, 'season_change_pct': 2.954545647878048, 'recent_slope': -0.026605395831289604, 'recent_trend': 'Decreasing', 'recent_std': 0.08799167919281209, 'recent_min': 26.174181427804616, 'recent_max': 26.456108144192257, 'moving_avg_3': 26.251291690209985, 'moving_avg_5': 26.29702112611339, 'inflection_point': Timestamp('2025-11-19 00:00:00'), 'inflection_games': 222, 'inflection_value': 26.550160493198145, 'acceleration': 'Decelerating / reversing'}"
Offensive Efficiency,115.92828031907216,113.8309577616383,1.4592773635524747,2.0973225574338556,1.4372336677162725,Increasing,0.989223883876889,Decelerating / reversing,⚡ WATCH,pts/100,True,CRITICAL,"{'early_value': 114.93905643519527, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 115.92828031907216, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': 0.989223883876889, 'season_change_pct': 0.8606507783841356, 'recent_slope': 0.0187493190269102, 'recent_trend': 'Increasing', 'recent_std': 0.08578874630649848, 'recent_min': 115.72985643750978, 'recent_max': 115.99497709581038, 'moving_avg_3': 115.92788173510631, 'moving_avg_5': 115.93485480964985, 'inflection_point': None, 'acceleration': 'Decelerating / reversing'}"
Defensive Efficiency,115.92828031907216,113.8309577616383,1.4592773635524747,2.0973225574338556,1.4372336677162725,Increasing,0.989223883876889,Decelerating / reversing,⚡ WATCH,pts/100,True,CRITICAL,"{'early_value': 114.93905643519527, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 115.92828031907216, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': 0.989223883876889, 'season_change_pct': 0.8606507783841356, 'recent_slope': 0.018749319026911185, 'recent_trend': 'Increasing', 'recent_std': 0.08578874630649744, 'recent_min': 115.7298564375098, 'recent_max': 115.99497709581038, 'moving_avg_3': 115.92788173510631, 'moving_avg_5': 115.93485480964985, 'inflection_point': None, 'acceleration': 'Decelerating / reversing'}"
3-Point Attempt Rate,41.56763715587245,39.89420609511207,1.2808294384428063,1.6734310607603788,1.306521391946523,Decreasing,0.7610889426562366,Decelerating / reversing,⚡ WATCH,%,True,HIGH,"{'early_value': 40.80654821321621, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 41.56763715587245, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': 0.7610889426562366, 'season_change_pct': 1.8651147327617852, 'recent_slope': -0.030452878737688566, 'recent_trend': 'Decreasing', 'recent_std': 0.09585867516093724, 'recent_min': 41.56763715587245, 'recent_max': 41.81659276944065, 'moving_avg_3': 41.58447627182266, 'moving_avg_5': 41.617573105871216, 'inflection_point': Timestamp('2025-10-21 00:00:00'), 'inflection_games': 2, 'inflection_value': 45.78651685393258, 'acceleration': 'Decelerating / reversing'}"
Assist Rate,63.300786737847716,61.40651319549062,1.654933235287128,1.894273542357098,1.1446223339810109,Decreasing,3.384997264163502,Decelerating / reversing,⚡ WATCH,%,True,HIGH,"{'early_value': 59.915789473684214, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 63.300786737847716, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': 3.384997264163502, 'season_change_pct': 5.649591357967896, 'recent_slope': -0.04474040241217486, 'recent_trend': 'Decreasing', 'recent_std': 0.14173302612520347, 'recent_min': 63.285202555485796, 'recent_max': 63.7185838294778, 'moving_avg_3': 63.31508922711515, 'moving_avg_5': 63.35056231005469, 'inflection_point': Timestamp('2025-11-13 00:00:00'), 'inflection_games': 177, 'inflection_value': 63.90620764434806, 'acceleration': 'Decelerating / reversing'}"
Free Throw Rate,28.020400079223606,25.03188496434844,0.8677062323824736,2.9885151148751667,3.4441554103738055,Decreasing,-2.9039361156256653,Accelerating upward,🚨 CRITICAL,%,False,MEDIUM,"{'early_value': 30.92433619484927, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 28.020400079223606, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': -2.9039361156256653, 'season_change_pct': -9.390455779967048, 'recent_slope': -0.04170341180812275, 'recent_trend': 'Decreasing', 'recent_std': 0.1318547500991495, 'recent_min': 27.972469856884242, 'recent_max': 28.338165075034105, 'moving_avg_3': 27.991241956691567, 'moving_avg_5': 28.031058338891285, 'inflection_point': Timestamp('2025-12-04 00:00:00'), 'inflection_games': 328, 'inflection_value': 27.972469856884242, 'acceleration': 'Accelerating upward'}"
Points Per Game,233.5794117647059,225.4982778776385,3.2143255576065606,8.08113388706741,2.5140993786219816,Stable,-5.099159663865521,Accelerating upward,🚨 CRITICAL,pts,False,LOW,"{'early_value': 238.67857142857142, 'early_games': 28, 'early_date': Timestamp('2025-10-24 00:00:00'), 'current_value': 233.5794117647059, 'current_games': 340, 'current_date': Timestamp('2025-12-05 00:00:00'), 'season_change': -5.099159663865521, 'season_change_pct': -2.1364128473475175, 'recent_slope': 0.0029724376296963993, 'recent_trend': 'Stable', 'recent_std': 0.19667980089223036, 'recent_min': 233.43642611683848, 'recent_max': 234.0095541401274, 'moving_avg_3': 233.6867974275718, 'moving_avg_5': 233.77048279106208, 'inflection_point': None, 'acceleration': 'Accelerating upward'}"
