feature,importance
home_rest_days,0.06274112
shared_pace_mean,0.052257553
diff_rest_days,0.052081782
diff_edge,0.05167168
home_ftr,0.04933986
away_orb_edge,0.04854082
away_tpar,0.048535142
away_edge,0.04828661
away_rest_days,0.047649473
away_ftr,0.047107387
home_tov_edge,0.046741337
home_tpar,0.046540685
shared_implied_away_winprob,0.04610158
home_edge,0.046071295
away_tov_edge,0.04601235
diff_tpar,0.04524555
diff_ftr,0.045091297
shared_implied_home_winprob,0.044476707
home_orb_edge,0.043788284
diff_orb_edge,0.04223251
diff_tov_edge,0.039487027
home_star_out,0.0
home_minutes_missing_top2,0.0
diff_usage_share_top2,0.0
home_usage_share_top2,0.0
diff_star_out,0.0
away_star_out,0.0
away_usage_share_top2,0.0
shared_team_weighted_ts_home,0.0
shared_team_weighted_ts_away,0.0
diff_minutes_missing_top2,0.0
away_minutes_missing_top2,0.0
