feature,importance
shared_implied_home_winprob,0.06689505
home_ftr,0.06624578
away_orb_edge,0.06193454
away_edge,0.061878733
diff_edge,0.061532136
home_tpar,0.05904354
diff_tpar,0.058838293
home_tov_edge,0.057319302
diff_ftr,0.056659352
home_edge,0.056283534
away_ftr,0.054782085
home_rest_days,0.054328382
shared_implied_away_winprob,0.052768037
shared_pace_mean,0.050881315
diff_orb_edge,0.049881145
diff_tov_edge,0.047927227
home_orb_edge,0.045273326
away_tpar,0.023948813
away_tov_edge,0.013579463
home_minutes_missing_top2,0.0
home_star_out,0.0
home_usage_share_top2,0.0
diff_usage_share_top2,0.0
away_rest_days,0.0
diff_star_out,0.0
away_star_out,0.0
away_usage_share_top2,0.0
shared_team_weighted_ts_home,0.0
shared_team_weighted_ts_away,0.0
diff_rest_days,0.0
diff_minutes_missing_top2,0.0
away_minutes_missing_top2,0.0
