player_name,cluster,cluster_name,games_played
A.J. Lawson,18,Corner Specialist (Off-Ball),41
AJ Green,3,Low-Usage Corner Specialist (Off-Ball),56
Aaron Gordon,1,Scoring Big,72
Aaron Holiday,8,Primary Shot-Creating Guard (Facilitator),77
Aaron Nesmith,18,Corner Specialist (Off-Ball),72
Aaron Wiggins,1,Scoring Big,77
Al Horford,3,Low-Usage Corner Specialist (Off-Ball),65
Alec Burks,2,Pull-Up Shooter,66
Aleksej Pokusevski,15,Low-Usage 3&D Wing (Defensive),27
Alex Caruso,13,Pull-Up Shooter (Defensive),70
Alex Len,17,Low-Usage Defensive Anchor (Defensive),47
Alperen Sengun,12,High-Usage Slashing Wing,63
Amen Thompson,16,Scoring Big (Defensive),61
Amir Coffey,18,Corner Specialist (Off-Ball),69
Andre Drummond,24,Post-Up Center (Aggressive),79
Andre Jackson Jr.,18,Corner Specialist (Off-Ball),56
Andrew Nembhard,23,Primary Scoring Guard (Facilitator),67
Andrew Wiggins,22,Role Player,70
Anfernee Simons,8,Primary Shot-Creating Guard (Facilitator),46
Anthony Black,14,Two-Way Wing,68
Anthony Davis,10,Mid-Range Scorer (Defensive),76
Anthony Edwards,11,High-Usage Scoring Guard (Self-Creator),78
Anthony Gill,1,Scoring Big,49
Ausar Thompson,16,Scoring Big (Defensive),63
Austin Reaves,8,Primary Shot-Creating Guard (Facilitator),82
Ayo Dosunmu,1,Scoring Big,76
Bam Adebayo,10,Mid-Range Scorer (Defensive),70
Ben Sheppard,4,Corner Specialist (Off-Ball),57
Bennedict Mathurin,22,Role Player,60
Bilal Coulibaly,18,Corner Specialist (Off-Ball),63
Bismack Biyombo,6,Low-Usage Rim-Running Center (Defensive),38
Blake Wesley,1,Scoring Big,60
Bobby Portis,10,Mid-Range Scorer (Defensive),81
Bogdan Bogdanovic,13,Pull-Up Shooter (Defensive),78
Bojan Bogdanovic,22,Role Player,56
Bol Bol,15,Low-Usage 3&D Wing (Defensive),41
Bones Hyland,8,Primary Shot-Creating Guard (Facilitator),37
Bradley Beal,23,Primary Scoring Guard (Facilitator),52
Brandin Podziemski,19,High-Usage Versatile Role Player (Facilitator),73
Brandon Boston Jr.,22,Role Player,31
Brandon Ingram,7,High-Usage Mid-Range Playmaker (Aggressive),63
Brandon Miller,22,Role Player,74
Brice Sensabaugh,22,Role Player,31
Brook Lopez,15,Low-Usage 3&D Wing (Defensive),78
Bruce Brown,1,Scoring Big,67
Bruno Fernando,6,Low-Usage Rim-Running Center (Defensive),44
Bryce McGowens,1,Scoring Big,58
Buddy Hield,13,Pull-Up Shooter (Defensive),84
CJ McCollum,8,Primary Shot-Creating Guard (Facilitator),65
Cade Cunningham,23,Primary Scoring Guard (Facilitator),62
Caleb Houstan,3,Low-Usage Corner Specialist (Off-Ball),58
Caleb Martin,22,Role Player,63
Cam Reddish,18,Corner Specialist (Off-Ball),49
Cam Thomas,23,Primary Scoring Guard (Facilitator),65
Cam Whitmore,22,Role Player,46
Cameron Johnson,2,Pull-Up Shooter,58
Cameron Payne,8,Primary Shot-Creating Guard (Facilitator),77
Caris LeVert,19,High-Usage Versatile Role Player (Facilitator),68
Cason Wallace,4,Corner Specialist (Off-Ball),81
Cedi Osman,14,Two-Way Wing,72
Chet Holmgren,15,Low-Usage 3&D Wing (Defensive),81
Chimezie Metu,16,Scoring Big (Defensive),50
Chris Boucher,15,Low-Usage 3&D Wing (Defensive),50
Chris Duarte,13,Pull-Up Shooter (Defensive),58
Chris Paul,23,Primary Scoring Guard (Facilitator),57
Christian Braun,1,Scoring Big,81
Christian Wood,15,Low-Usage 3&D Wing (Defensive),50
Chuma Okeke,3,Low-Usage Corner Specialist (Off-Ball),46
Clint Capela,24,Post-Up Center (Aggressive),73
Coby White,8,Primary Shot-Creating Guard (Facilitator),78
Cody Martin,19,High-Usage Versatile Role Player (Facilitator),28
Cody Zeller,17,Low-Usage Defensive Anchor (Defensive),41
Colby Jones,16,Scoring Big (Defensive),29
Cole Anthony,19,High-Usage Versatile Role Player (Facilitator),80
Collin Sexton,19,High-Usage Versatile Role Player (Facilitator),78
Corey Kispert,3,Low-Usage Corner Specialist (Off-Ball),79
Cory Joseph,2,Pull-Up Shooter,26
Craig Porter Jr.,23,Primary Scoring Guard (Facilitator),39
D'Angelo Russell,8,Primary Shot-Creating Guard (Facilitator),76
Dalano Banton,19,High-Usage Versatile Role Player (Facilitator),53
Dalen Terry,1,Scoring Big,58
Damian Jones,17,Low-Usage Defensive Anchor (Defensive),38
Damian Lillard,5,High-Usage Elite Perimeter Creator (Facilitator),72
Daniel Gafford,6,Low-Usage Rim-Running Center (Defensive),74
Daniel Theis,14,Two-Way Wing,59
Danilo Gallinari,22,Role Player,49
Dante Exum,1,Scoring Big,55
Danuel House Jr.,1,Scoring Big,34
Dario Saric,14,Two-Way Wing,63
Darius Garland,11,High-Usage Scoring Guard (Self-Creator),57
David Roddy,1,Scoring Big,64
Davion Mitchell,14,Two-Way Wing,71
Davis Bertans,3,Low-Usage Corner Specialist (Off-Ball),43
Day'Ron Sharpe,17,Low-Usage Defensive Anchor (Defensive),61
De'Aaron Fox,11,High-Usage Scoring Guard (Self-Creator),73
De'Andre Hunter,22,Role Player,56
De'Anthony Melton,13,Pull-Up Shooter (Defensive),38
DeAndre Jordan,24,Post-Up Center (Aggressive),36
DeMar DeRozan,7,High-Usage Mid-Range Playmaker (Aggressive),78
Dean Wade,4,Corner Specialist (Off-Ball),54
Deandre Ayton,10,Mid-Range Scorer (Defensive),55
Dejounte Murray,23,Primary Scoring Guard (Facilitator),77
Delon Wright,-1,Other / Unique Stars,46
Deni Avdija,12,High-Usage Slashing Wing,74
Dennis Schroder,23,Primary Scoring Guard (Facilitator),80
Dennis Smith Jr.,19,High-Usage Versatile Role Player (Facilitator),56
Dereck Lively II,6,Low-Usage Rim-Running Center (Defensive),55
Derrick Jones Jr.,18,Corner Specialist (Off-Ball),76
Derrick White,8,Primary Shot-Creating Guard (Facilitator),73
Desmond Bane,8,Primary Shot-Creating Guard (Facilitator),42
Devin Booker,23,Primary Scoring Guard (Facilitator),67
Devin Vassell,23,Primary Scoring Guard (Facilitator),68
Dillon Brooks,13,Pull-Up Shooter (Defensive),72
Domantas Sabonis,12,High-Usage Slashing Wing,81
Dominick Barlow,10,Mid-Range Scorer (Defensive),33
