feature,group,mean,std,min,max,missing_frac
home_off_rating_norm,current_early,0.2143760288917622,5.272477657777417,-12.444250079239694,13.361290063216572,0.0
away_off_rating_norm,current_early,0.5104760288917619,5.27577895871687,-12.160326852199404,13.224876721070316,0.0
home_def_rating_norm,current_early,0.4886760288917617,5.088616803595417,-10.431179874061883,17.028483176799725,0.0
away_def_rating_norm,current_early,0.3492760288917611,4.713410568601771,-11.081265418158935,12.112595167485253,0.0
home_pace_norm,current_early,-0.2123207505452963,2.9537156710640975,-6.135502385164756,6.589080895294018,0.0
away_pace_norm,current_early,-0.05772075054529708,2.8434752657148143,-5.895502385164761,6.670768106619093,0.0
home_three_pt_rate_norm,current_early,0.00497417477718065,0.048694440787614264,-0.09590034731498798,0.09761645422943221,0.0
away_three_pt_rate_norm,current_early,0.0010941747771806487,0.05457179220929171,-0.10690034731498799,0.11233982700849376,0.0
home_def_reb_rate_norm,current_early,-0.004986933503331852,0.0442617344033671,-0.09000560224089627,0.07588657214345296,0.0
away_def_reb_rate_norm,current_early,-0.003626933503331856,0.04180539531160136,-0.09085935414998658,0.06803151897199666,0.0
home_assist_rate_norm,current_early,0.011704549342726916,0.05034834739960223,-0.13408152734778123,0.10569991617770325,0.0
away_assist_rate_norm,current_early,0.009874549342726921,0.05414598514041332,-0.15185021398002857,0.11287057122198119,0.0
home_turnover_rate_norm,current_early,0.0016710724479350792,0.013717839208078704,-0.028331196285001387,0.028800253204749854,0.0
away_turnover_rate_norm,current_early,6.107244793507799e-05,0.015839712755057606,-0.03263905080179269,0.0355715534829496,0.0
home_rest_days,current_early,1.16,0.6774879327264057,0.0,3.0,0.0
away_rest_days,current_early,1.1,0.6113406364191518,0.0,2.0,0.0
home_b2b,current_early,0.55,0.5,False,True,0.0
away_b2b,current_early,0.62,0.4878317312145634,False,True,0.0
home_three_in_four,current_early,0.55,0.5,False,True,0.0
away_three_in_four,current_early,0.62,0.4878317312145634,False,True,0.0
home_off_rating_norm,current_late,0.13420057858683562,4.630632922381061,-11.806703533595837,9.639918215846805,0.0
away_off_rating_norm,current_late,-0.12285824494257658,5.016529804758725,-12.405737969990199,10.113296466404165,0.0
home_def_rating_norm,current_late,0.029847637410364815,4.43542795617777,-11.408570145324916,11.558392119270238,0.0
away_def_rating_norm,current_late,-0.16297589200139906,4.441927999204176,-9.338499573174076,13.543296466404172,0.0
home_pace_norm,current_late,-0.1233472669673091,2.241829680138322,-4.998480218494905,5.3361129077154885,0.0
away_pace_norm,current_late,-0.07040609049672138,2.1103593873607465,-4.777080270011396,4.7214392697870124,0.0
home_three_pt_rate_norm,current_late,-0.002336734847539872,0.04848043870908773,-0.08732929330598543,0.09657166528583266,0.0
away_three_pt_rate_norm,current_late,0.003251500446577774,0.045849031800987164,-0.07802440590879894,0.09367070669401456,0.0
home_def_reb_rate_norm,current_late,0.0006140182363742559,0.041164071131197834,-0.08065860299507799,0.07396328145154363,0.0
away_def_reb_rate_norm,current_late,0.0015669594128448437,0.0385180456366115,-0.07865860299507799,0.07894739543238383,0.0
home_assist_rate_norm,current_late,-0.0011537369816773454,0.037718358354594535,-0.08829827915869981,0.06546463245492362,0.0
away_assist_rate_norm,current_late,0.0017756747830285319,0.041442888899754136,-0.08186157517899761,0.07170172084130011,0.0
home_turnover_rate_norm,current_late,1.4068563583515237e-05,0.012889315404424596,-0.028382168903465232,0.023722361310514944,0.0
away_turnover_rate_norm,current_late,0.0004728920929952792,0.013549132223984375,-0.028382168903465232,0.0263326884424811,0.0
home_rest_days,current_late,0.9411764705882353,0.6427793292463927,0.0,3.0,0.0
away_rest_days,current_late,0.9647058823529412,0.5864960281505873,0.0,2.0,0.0
