game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-11-12-ATL-BOS,2024-11-12,,ATL,BOS,-16.0,16.0,17.94551706314087,116,117,-1,0,1,0,0,1,0,18.94551706314087
2024-11-12-MIA-DET,2024-11-12,,MIA,DET,1.5,-1.5,-1.1835536062717438,123,121,2,1,1,1,1,0,0,3.1835536062717438
2024-11-12-CHA-ORL,2024-11-12,,CHA,ORL,-9.0,9.0,8.770215794444084,114,89,25,1,0,0,1,1,1,16.229784205555916
2024-11-12-NYK-PHI,2024-11-12,,NYK,PHI,3.5,-3.5,-3.730791315436363,99,111,-12,0,0,1,0,0,1,8.269208684563637
2024-11-12-TOR-MIL,2024-11-12,,TOR,MIL,-9.0,9.0,8.87619585543871,99,85,14,1,0,0,1,1,1,5.123804144561291
2024-11-12-PHX-UTA,2024-11-12,,PHX,UTA,5.5,-5.5,-4.887788832187653,112,120,-8,0,1,0,0,0,1,3.1122111678123474
2024-11-12-DAL-GSW,2024-11-12,,DAL,GSW,-2.5,2.5,2.286744281649589,120,117,3,1,0,0,1,1,1,0.7132557183504109
2024-11-12-MIN-POR,2024-11-12,,MIN,POR,9.0,-9.0,-8.82225687801838,122,108,14,1,1,1,1,0,0,22.82225687801838
2024-11-15-MIA-IND,2024-11-15,,MIA,IND,-4.5,4.5,4.358750075101852,111,124,-13,0,0,1,0,1,0,17.358750075101852
2024-11-15-PHI-ORL,2024-11-15,,PHI,ORL,-2.5,2.5,2.5387841127812862,98,86,12,1,1,1,1,1,1,9.461215887218714
2024-11-15-DET-TOR,2024-11-15,,DET,TOR,2.5,-2.5,-2.6324928253889084,95,99,-4,0,0,1,0,0,1,1.3675071746110916
2024-11-15-WAS-ATL,2024-11-15,,WAS,ATL,-9.5,9.5,9.494778415653856,129,117,12,1,0,0,1,1,1,2.5052215843461436
2024-11-15-CHI-CLE,2024-11-15,,CHI,CLE,-10.0,10.0,10.38277617096901,144,126,18,1,1,1,1,1,1,7.617223829030991
2024-11-15-BKN-NYK,2024-11-15,,BKN,NYK,-8.5,8.5,8.500073777977377,124,122,2,0,1,0,1,1,1,6.500073777977377
2024-11-15-LAL-SAS,2024-11-15,,LAL,SAS,2.5,-2.5,-1.9242098927497864,115,120,-5,0,1,0,0,0,1,3.0757901072502136
2024-11-15-LAC-HOU,2024-11-15,,LAC,HOU,-5.0,5.0,5.962071478366852,125,104,21,1,1,1,1,1,1,15.037928521633148
2024-11-15-DEN-NOP,2024-11-15,,DEN,NOP,2.0,-2.0,-2.0485695339739323,101,94,7,1,0,0,1,0,0,9.048569533973932
2024-11-15-PHX-OKC,2024-11-15,,PHX,OKC,-7.5,7.5,7.35535654425621,99,83,16,1,0,0,1,1,1,8.64464345574379
2024-11-15-MEM-GSW,2024-11-15,,MEM,GSW,-7.0,7.0,7.044004898518324,123,118,5,0,1,0,1,1,1,2.044004898518324
2024-11-15-MIN-SAC,2024-11-15,,MIN,SAC,1.5,-1.5,-1.3518158793449402,126,130,-4,0,1,0,0,0,1,2.64818412065506
2024-11-19-CLE-BOS,2024-11-19,,CLE,BOS,-7.0,7.0,7.101509213447571,120,117,3,0,1,0,1,1,1,4.101509213447571
2024-11-19-CHA-BKN,2024-11-19,,CHA,BKN,-1.5,1.5,1.7681666612625122,116,115,1,0,1,0,1,1,1,0.7681666612625122
2024-11-19-DEN-MEM,2024-11-19,,DEN,MEM,-6.0,6.0,6.565551996231079,110,122,-12,0,1,0,0,1,0,18.56555199623108
2024-11-19-NOP-DAL,2024-11-19,,NOP,DAL,-13.0,13.0,13.184148490428925,132,91,41,1,1,1,1,1,1,27.815851509571075
2024-11-19-OKC-SAS,2024-11-19,,OKC,SAS,10.0,-10.0,-8.58071494102478,110,104,6,1,1,1,1,0,0,14.58071494102478
2024-11-19-UTA-LAL,2024-11-19,,UTA,LAL,-10.5,10.5,11.938862681388857,124,118,6,0,1,0,1,1,1,5.938862681388857
2024-11-22-BKN-PHI,2024-11-22,,BKN,PHI,-2.5,2.5,2.252022325992584,113,98,15,1,0,0,1,1,1,12.747977674007416
2024-11-22-BOS-WAS,2024-11-22,,BOS,WAS,15.5,-15.5,-15.07290169596672,96,108,-12,1,1,1,0,0,1,3.0729016959667206
2024-11-22-IND-MIL,2024-11-22,,IND,MIL,-5.5,5.5,4.436345100402832,129,117,12,1,0,0,1,1,1,7.563654899597168
2024-11-22-ATL-CHI,2024-11-22,,ATL,CHI,2.5,-2.5,-2.6671707183122635,136,122,14,1,0,0,1,0,0,16.667170718312263
2024-11-22-POR-HOU,2024-11-22,,POR,HOU,-11.5,11.5,12.561344981193542,116,88,28,1,1,1,1,1,1,15.438655018806458
2024-11-22-GSW-NOP,2024-11-22,,GSW,NOP,10.5,-10.5,-10.379294827580452,108,112,-4,1,1,1,0,0,1,6.379294827580452
2024-11-22-DAL-DEN,2024-11-22,,DAL,DEN,-4.5,4.5,4.611014194786549,120,123,-3,0,1,0,0,1,0,7.611014194786549
