segment,n_games,ats_accuracy,roi_pct
overall,185,57.2972972972973,9.43783783783784
pick_away,73,52.054794520547944,-0.575342465753421
pick_favorite,79,60.75949367088608,16.05063291139241
pick_home,112,60.71428571428571,15.964285714285717
pick_underdog,106,54.71698113207547,4.509433962264154
road_favorite_picks,23,73.91304347826086,41.173913043478265
road_underdog_picks,50,42.0,-19.779999999999998
spread_0-3,36,61.111111111111114,16.722222222222225
spread_10+,36,52.77777777777778,0.8055555555555581
spread_3-6,66,60.60606060606061,15.757575757575761
spread_6-10,47,53.191489361702125,1.5957446808510665
