pick_team,n_games,ats_accuracy,roi_pct
WAS,1,0.0,-100.0
BKN,2,0.0,-100.0
BOS,1,0.0,-100.0
PHI,1,0.0,-100.0
MEM,2,0.0,-100.0
LAC,1,0.0,-100.0
NOP,4,25.0,-52.25
MIA,4,25.0,-52.25
UTA,3,33.33333333333333,-36.33333333333333
SAC,3,33.33333333333333,-36.33333333333333
PHX,3,33.33333333333333,-36.33333333333333
SAS,2,50.0,-4.499999999999998
DAL,2,50.0,-4.499999999999998
TOR,4,50.0,-4.499999999999998
CHA,4,50.0,-4.499999999999998
IND,4,50.0,-4.499999999999998
GSW,3,66.66666666666666,27.333333333333336
ATL,1,100.0,91.0
DET,1,100.0,91.0
CLE,1,100.0,91.0
POR,1,100.0,91.0
LAL,2,100.0,91.0
