game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,game_index,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,spread_abs,home_favored,away_favored,pick_side,pick_team,pick_is_favorite,pick_is_underdog,pick_location_bucket,spread_bucket,abs_error
2025-10-21-GSW-LAL,2025-10-21,,GSW,LAL,2.5,-2.5,-2.191879451274872,109,119,-10,1,0,1,0,0,0,1,2.5,False,True,home,LAL,False,True,home_underdog,0-3,7.808120548725128
2025-10-21-HOU-OKC,2025-10-21,,HOU,OKC,-6.5,6.5,8.053516626358032,125,124,1,2,0,1,0,1,1,1,6.5,True,False,home,OKC,True,False,home_favorite,6-10,7.053516626358032
2025-10-22-BKN-CHA,2025-10-22,,BKN,CHA,-5.5,5.5,4.9651196002960205,136,117,19,3,1,0,0,1,1,1,5.5,True,False,away,BKN,False,True,road_underdog,3-6,14.03488039970398
2025-10-22-CLE-NYK,2025-10-22,,CLE,NYK,1.5,-1.5,-1.057664692401886,119,111,8,4,1,1,1,1,0,0,1.5,False,True,home,NYK,False,True,home_underdog,0-3,9.057664692401886
2025-10-22-DET-CHI,2025-10-22,,DET,CHI,2.5,-2.5,-2.3312944769859314,115,111,4,5,1,1,1,1,0,0,2.5,False,True,home,CHI,False,True,home_underdog,0-3,6.331294476985931
2025-10-22-LAC-UTA,2025-10-22,,LAC,UTA,10.5,-10.5,-10.560379769653082,129,108,21,6,1,0,0,1,0,0,10.5,False,True,away,LAC,True,False,road_favorite,10+,31.560379769653082
2025-10-22-MIA-ORL,2025-10-22,,MIA,ORL,-8.5,8.5,8.070139169692993,125,121,4,7,0,0,1,1,1,1,8.5,True,False,away,MIA,False,True,road_underdog,6-10,4.070139169692993
2025-10-22-MIN-POR,2025-10-22,,MIN,POR,5.5,-5.5,-5.5363678857684135,114,118,-4,8,1,0,0,0,0,1,5.5,False,True,away,MIN,True,False,road_favorite,3-6,1.5363678857684135
2025-10-22-NOP-MEM,2025-10-22,,NOP,MEM,-3.5,3.5,3.0382493138313293,128,122,6,9,1,0,0,1,1,1,3.5,True,False,away,NOP,False,True,road_underdog,3-6,2.9617506861686707
2025-10-22-PHI-BOS,2025-10-22,,PHI,BOS,-5.5,5.5,7.02906060218811,116,117,-1,10,0,1,0,0,1,0,5.5,True,False,home,BOS,True,False,home_favorite,3-6,8.02906060218811
2025-10-22-SAC-PHX,2025-10-22,,SAC,PHX,-3.5,3.5,3.513796728104353,120,116,4,11,1,1,1,1,1,1,3.5,True,False,home,PHX,True,False,home_favorite,3-6,0.48620327189564705
2025-10-22-SAS-DAL,2025-10-22,,SAS,DAL,-4.5,4.5,4.388813845813274,92,125,-33,12,0,0,1,0,1,0,4.5,True,False,away,SAS,False,True,road_underdog,3-6,37.388813845813274
2025-10-22-TOR-ATL,2025-10-22,,TOR,ATL,-5.5,5.5,5.710845306515694,118,138,-20,13,0,1,0,0,1,0,5.5,True,False,home,ATL,True,False,home_favorite,3-6,25.710845306515694
2025-10-22-WAS-MIL,2025-10-22,,WAS,MIL,-10.5,10.5,10.73641987144947,133,120,13,14,1,1,1,1,1,1,10.5,True,False,home,MIL,True,False,home_favorite,10+,2.2635801285505295
2025-10-23-DEN-GSW,2025-10-23,,DEN,GSW,-1.5,1.5,2.591138362884521,137,131,6,15,1,1,1,1,1,1,1.5,True,False,home,GSW,True,False,home_favorite,0-3,3.408861637115479
2025-10-23-OKC-IND,2025-10-23,,OKC,IND,7.5,-7.5,-7.356461629271507,135,141,-6,16,1,1,1,0,0,1,7.5,False,True,home,IND,False,True,home_underdog,6-10,1.3564616292715073
2025-10-24-ATL-ORL,2025-10-24,,ATL,ORL,-5.5,5.5,5.568102613091469,107,111,-4,17,0,1,0,0,1,0,5.5,True,False,home,ORL,True,False,home_favorite,3-6,9.568102613091469
2025-10-24-BOS-NYK,2025-10-24,,BOS,NYK,-3.5,3.5,4.928950548171997,105,95,10,18,1,1,1,1,1,1,3.5,True,False,home,NYK,True,False,home_favorite,3-6,5.071049451828003
2025-10-24-CLE-BKN,2025-10-24,,CLE,BKN,11.5,-11.5,-10.147973895072935,124,131,-7,19,1,1,1,0,0,1,11.5,False,True,home,BKN,False,True,home_underdog,10+,3.1479738950729352
2025-10-24-DET-HOU,2025-10-24,,DET,HOU,-6.5,6.5,6.349394977092743,111,115,-4,20,0,0,1,0,1,0,6.5,True,False,away,DET,False,True,road_underdog,6-10,10.349394977092743
2025-10-24-GSW-POR,2025-10-24,,GSW,POR,2.5,-2.5,-1.4185959100723269,139,119,20,21,1,1,1,1,0,0,2.5,False,True,home,POR,False,True,home_underdog,0-3,21.418595910072327
2025-10-24-MIA-MEM,2025-10-24,,MIA,MEM,-3.5,3.5,3.539965745061636,114,146,-32,22,0,1,0,0,1,0,3.5,True,False,home,MEM,True,False,home_favorite,3-6,35.539965745061636
2025-10-24-MIL-TOR,2025-10-24,,MIL,TOR,-2.5,2.5,2.5931828692555428,116,122,-6,23,0,1,0,0,1,0,2.5,True,False,home,TOR,True,False,home_favorite,0-3,8.593182869255543
2025-10-24-MIN-LAL,2025-10-24,,MIN,LAL,1.5,-1.5,-1.4934581383131444,128,110,18,24,1,1,1,1,0,0,1.5,False,True,home,LAL,False,True,home_underdog,0-3,19.493458138313144
2025-10-24-PHX-LAC,2025-10-24,,PHX,LAC,-10.5,10.5,10.138567090034485,129,102,27,25,1,0,0,1,1,1,10.5,True,False,away,PHX,False,True,road_underdog,10+,16.861432909965515
2025-10-24-SAS-NOP,2025-10-24,,SAS,NOP,3.5,-3.5,-3.159067779779434,116,120,-4,26,0,1,0,0,0,1,3.5,False,True,home,NOP,False,True,home_underdog,3-6,0.8409322202205658
2025-10-24-UTA-SAC,2025-10-24,,UTA,SAC,-5.5,5.5,5.498916337732226,105,104,1,27,0,0,1,1,1,1,5.5,True,False,away,UTA,False,True,road_underdog,3-6,4.498916337732226
2025-10-24-WAS-DAL,2025-10-24,,WAS,DAL,-8.5,8.5,8.537846487015486,107,117,-10,28,0,1,0,0,1,0,8.5,True,False,home,DAL,True,False,home_favorite,6-10,18.537846487015486
2025-10-25-CHA-PHI,2025-10-25,,CHA,PHI,-4.5,4.5,4.265131011605263,125,121,4,29,0,0,1,1,1,1,4.5,True,False,away,CHA,False,True,road_underdog,3-6,0.26513101160526276
2025-10-25-CHI-ORL,2025-10-25,,CHI,ORL,-6.5,6.5,6.621035575866699,98,110,-12,30,0,1,0,0,1,0,6.5,True,False,home,ORL,True,False,home_favorite,6-10,18.6210355758667
2025-10-25-IND-MEM,2025-10-25,,IND,MEM,-1.5,1.5,1.028688222169876,128,103,25,31,1,0,0,1,1,1,1.5,True,False,away,IND,False,True,road_underdog,0-3,23.971311777830124
2025-10-25-OKC-ATL,2025-10-25,,OKC,ATL,8.5,-8.5,-8.303516954183578,100,117,-17,32,0,1,0,0,0,1,8.5,False,True,home,ATL,False,True,home_underdog,6-10,8.696483045816422
2025-10-25-PHX-DEN,2025-10-25,,PHX,DEN,-12.5,12.5,13.00751394033432,133,111,22,33,1,1,1,1,1,1,12.5,True,False,home,DEN,True,False,home_favorite,10+,8.99248605966568
2025-10-26-BKN-SAS,2025-10-26,,BKN,SAS,-10.5,10.5,10.356176495552065,118,107,11,34,1,0,0,1,1,1,10.5,True,False,away,BKN,False,True,road_underdog,10+,0.6438235044479352
2025-10-26-BOS-DET,2025-10-26,,BOS,DET,-2.5,2.5,2.456902708858252,119,113,6,35,1,0,0,1,1,1,2.5,True,False,away,BOS,False,True,road_underdog,0-3,3.543097291141748
2025-10-26-CHA-WAS,2025-10-26,,CHA,WAS,-1.5,1.5,1.175817996263504,113,139,-26,36,0,0,1,0,1,0,1.5,True,False,away,CHA,False,True,road_underdog,0-3,27.175817996263504
2025-10-26-IND-MIN,2025-10-26,,IND,MIN,-11.5,11.5,11.40819601714611,114,110,4,37,0,0,1,1,1,1,11.5,True,False,away,IND,False,True,road_underdog,10+,7.4081960171461105
2025-10-26-LAL-SAC,2025-10-26,,LAL,SAC,-3.5,3.5,3.0444615185260773,120,127,-7,38,0,0,1,0,1,0,3.5,True,False,away,LAL,False,True,road_underdog,3-6,10.044461518526077
2025-10-26-MIL-CLE,2025-10-26,,MIL,CLE,-6.5,6.5,6.742841064929962,118,113,5,39,0,1,0,1,1,1,6.5,True,False,home,CLE,True,False,home_favorite,6-10,1.7428410649299622
2025-10-26-NYK-MIA,2025-10-26,,NYK,MIA,3.5,-3.5,-3.0858618915081024,115,107,8,40,1,1,1,1,0,0,3.5,False,True,home,MIA,False,True,home_underdog,3-6,11.085861891508102
2025-10-26-POR-LAC,2025-10-26,,POR,LAC,-8.5,8.5,8.291521176695824,114,107,7,41,0,0,1,1,1,1,8.5,True,False,away,POR,False,True,road_underdog,6-10,1.2915211766958237
2025-10-26-TOR-DAL,2025-10-26,,TOR,DAL,1.5,-1.5,-1.2784993946552277,139,129,10,42,1,1,1,1,0,0,1.5,False,True,home,DAL,False,True,home_underdog,0-3,11.278499394655228
2025-10-27-ATL-CHI,2025-10-27,,ATL,CHI,2.5,-2.5,-2.3205549269914627,128,123,5,43,1,1,1,1,0,0,2.5,False,True,home,CHI,False,True,home_underdog,0-3,7.320554926991463
2025-10-27-BKN-HOU,2025-10-27,,BKN,HOU,-16.5,16.5,16.73061729967594,137,109,28,44,1,1,1,1,1,1,16.5,True,False,home,HOU,True,False,home_favorite,10+,11.269382700324059
