game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,game_index,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,spread_abs,home_favored,away_favored,pick_side,pick_team,pick_is_favorite,pick_is_underdog,pick_location_bucket,spread_bucket,abs_error
2025-10-21-GSW-LAL,2025-10-21,,GSW,LAL,2.5,-2.5,-2.155248761177063,109,119,-10,1,0,1,0,0,0,1,2.5,False,True,home,LAL,False,True,home_underdog,0-3,7.844751238822937
2025-10-21-HOU-OKC,2025-10-21,,HOU,OKC,-6.5,6.5,8.163669109344482,125,124,1,2,0,1,0,1,1,1,6.5,True,False,home,OKC,True,False,home_favorite,6-10,7.163669109344482
2025-10-22-BKN-CHA,2025-10-22,,BKN,CHA,-5.5,5.5,4.966200053691864,136,117,19,3,1,0,0,1,1,1,5.5,True,False,away,BKN,False,True,road_underdog,3-6,14.033799946308136
2025-10-22-CLE-NYK,2025-10-22,,CLE,NYK,1.5,-1.5,-1.0691837668418884,119,111,8,4,1,1,1,1,0,0,1.5,False,True,home,NYK,False,True,home_underdog,0-3,9.069183766841888
2025-10-22-DET-CHI,2025-10-22,,DET,CHI,2.5,-2.5,-2.318949818611145,115,111,4,5,1,1,1,1,0,0,2.5,False,True,home,CHI,False,True,home_underdog,0-3,6.318949818611145
2025-10-22-LAC-UTA,2025-10-22,,LAC,UTA,10.5,-10.5,-10.59992567449808,129,108,21,6,1,0,0,1,0,0,10.5,False,True,away,LAC,True,False,road_favorite,10+,31.59992567449808
2025-10-22-MIA-ORL,2025-10-22,,MIA,ORL,-8.5,8.5,8.099264144897461,125,121,4,7,0,0,1,1,1,1,8.5,True,False,away,MIA,False,True,road_underdog,6-10,4.099264144897461
2025-10-22-MIN-POR,2025-10-22,,MIN,POR,5.5,-5.5,-5.542966723442078,114,118,-4,8,1,0,0,0,0,1,5.5,False,True,away,MIN,True,False,road_favorite,3-6,1.5429667234420776
2025-10-22-NOP-MEM,2025-10-22,,NOP,MEM,-3.5,3.5,3.0390610694885254,128,122,6,9,1,0,0,1,1,1,3.5,True,False,away,NOP,False,True,road_underdog,3-6,2.9609389305114746
2025-10-22-PHI-BOS,2025-10-22,,PHI,BOS,-5.5,5.5,7.062328338623047,116,117,-1,10,0,1,0,0,1,0,5.5,True,False,home,BOS,True,False,home_favorite,3-6,8.062328338623047
2025-10-22-SAC-PHX,2025-10-22,,SAC,PHX,-3.5,3.5,3.4884161595255136,120,116,4,11,1,0,0,1,1,1,3.5,True,False,away,SAC,False,True,road_underdog,3-6,0.5115838404744864
2025-10-22-SAS-DAL,2025-10-22,,SAS,DAL,-4.5,4.5,4.394708774983883,92,125,-33,12,0,0,1,0,1,0,4.5,True,False,away,SAS,False,True,road_underdog,3-6,37.39470877498388
2025-10-22-TOR-ATL,2025-10-22,,TOR,ATL,-5.5,5.5,5.716749951243401,118,138,-20,13,0,1,0,0,1,0,5.5,True,False,home,ATL,True,False,home_favorite,3-6,25.7167499512434
2025-10-22-WAS-MIL,2025-10-22,,WAS,MIL,-10.5,10.5,10.751437574625015,133,120,13,14,1,1,1,1,1,1,10.5,True,False,home,MIL,True,False,home_favorite,10+,2.2485624253749847
2025-10-23-DEN-GSW,2025-10-23,,DEN,GSW,-1.5,1.5,2.587968945503235,137,131,6,15,1,1,1,1,1,1,1.5,True,False,home,GSW,True,False,home_favorite,0-3,3.412031054496765
2025-10-23-OKC-IND,2025-10-23,,OKC,IND,7.5,-7.5,-7.378979332745075,135,141,-6,16,1,1,1,0,0,1,7.5,False,True,home,IND,False,True,home_underdog,6-10,1.3789793327450752
2025-10-24-ATL-ORL,2025-10-24,,ATL,ORL,-5.5,5.5,5.574865825474262,107,111,-4,17,0,1,0,0,1,0,5.5,True,False,home,ORL,True,False,home_favorite,3-6,9.574865825474262
2025-10-24-BOS-NYK,2025-10-24,,BOS,NYK,-3.5,3.5,4.8696616888046265,105,95,10,18,1,1,1,1,1,1,3.5,True,False,home,NYK,True,False,home_favorite,3-6,5.1303383111953735
2025-10-24-CLE-BKN,2025-10-24,,CLE,BKN,11.5,-11.5,-10.152987360954285,124,131,-7,19,1,1,1,0,0,1,11.5,False,True,home,BKN,False,True,home_underdog,10+,3.1529873609542847
2025-10-24-DET-HOU,2025-10-24,,DET,HOU,-6.5,6.5,6.351398721337318,111,115,-4,20,0,0,1,0,1,0,6.5,True,False,away,DET,False,True,road_underdog,6-10,10.351398721337318
2025-10-24-GSW-POR,2025-10-24,,GSW,POR,2.5,-2.5,-1.4303228855133057,139,119,20,21,1,1,1,1,0,0,2.5,False,True,home,POR,False,True,home_underdog,0-3,21.430322885513306
2025-10-24-MIA-MEM,2025-10-24,,MIA,MEM,-3.5,3.5,3.4733891673386097,114,146,-32,22,0,0,1,0,1,0,3.5,True,False,away,MIA,False,True,road_underdog,3-6,35.47338916733861
2025-10-24-MIL-TOR,2025-10-24,,MIL,TOR,-2.5,2.5,2.5264507681131363,116,122,-6,23,0,1,0,0,1,0,2.5,True,False,home,TOR,True,False,home_favorite,0-3,8.526450768113136
2025-10-24-MIN-LAL,2025-10-24,,MIN,LAL,1.5,-1.5,-1.5450426079332829,128,110,18,24,1,0,0,1,0,0,1.5,False,True,away,MIN,True,False,road_favorite,0-3,19.545042607933283
2025-10-24-PHX-LAC,2025-10-24,,PHX,LAC,-10.5,10.5,10.112458288669586,129,102,27,25,1,0,0,1,1,1,10.5,True,False,away,PHX,False,True,road_underdog,10+,16.887541711330414
2025-10-24-SAS-NOP,2025-10-24,,SAS,NOP,3.5,-3.5,-3.129079759120941,116,120,-4,26,0,1,0,0,0,1,3.5,False,True,home,NOP,False,True,home_underdog,3-6,0.8709202408790588
2025-10-24-UTA-SAC,2025-10-24,,UTA,SAC,-5.5,5.5,5.533358000218868,105,104,1,27,0,1,0,1,1,1,5.5,True,False,home,SAC,True,False,home_favorite,3-6,4.533358000218868
2025-10-24-WAS-DAL,2025-10-24,,WAS,DAL,-8.5,8.5,8.494041337165982,107,117,-10,28,0,0,1,0,1,0,8.5,True,False,away,WAS,False,True,road_underdog,6-10,18.49404133716598
2025-10-25-CHA-PHI,2025-10-25,,CHA,PHI,-4.5,4.5,4.352655410766602,125,121,4,29,0,0,1,1,1,1,4.5,True,False,away,CHA,False,True,road_underdog,3-6,0.35265541076660156
2025-10-25-CHI-ORL,2025-10-25,,CHI,ORL,-6.5,6.5,6.646307930350304,98,110,-12,30,0,1,0,0,1,0,6.5,True,False,home,ORL,True,False,home_favorite,6-10,18.646307930350304
2025-10-25-IND-MEM,2025-10-25,,IND,MEM,-1.5,1.5,1.037325084209442,128,103,25,31,1,0,0,1,1,1,1.5,True,False,away,IND,False,True,road_underdog,0-3,23.962674915790558
2025-10-25-OKC-ATL,2025-10-25,,OKC,ATL,8.5,-8.5,-8.314169526100159,100,117,-17,32,0,1,0,0,0,1,8.5,False,True,home,ATL,False,True,home_underdog,6-10,8.685830473899841
2025-10-25-PHX-DEN,2025-10-25,,PHX,DEN,-12.5,12.5,12.920832186937332,133,111,22,33,1,1,1,1,1,1,12.5,True,False,home,DEN,True,False,home_favorite,10+,9.079167813062668
2025-10-26-BKN-SAS,2025-10-26,,BKN,SAS,-10.5,10.5,10.436383202672005,118,107,11,34,1,0,0,1,1,1,10.5,True,False,away,BKN,False,True,road_underdog,10+,0.5636167973279953
2025-10-26-BOS-DET,2025-10-26,,BOS,DET,-2.5,2.5,2.4584007896482944,119,113,6,35,1,0,0,1,1,1,2.5,True,False,away,BOS,False,True,road_underdog,0-3,3.5415992103517056
2025-10-26-CHA-WAS,2025-10-26,,CHA,WAS,-1.5,1.5,1.2102630734443665,113,139,-26,36,0,0,1,0,1,0,1.5,True,False,away,CHA,False,True,road_underdog,0-3,27.210263073444366
2025-10-26-IND-MIN,2025-10-26,,IND,MIN,-11.5,11.5,11.37800718843937,114,110,4,37,0,0,1,1,1,1,11.5,True,False,away,IND,False,True,road_underdog,10+,7.378007188439369
2025-10-26-LAL-SAC,2025-10-26,,LAL,SAC,-3.5,3.5,3.0233483612537384,120,127,-7,38,0,0,1,0,1,0,3.5,True,False,away,LAL,False,True,road_underdog,3-6,10.023348361253738
2025-10-26-MIL-CLE,2025-10-26,,MIL,CLE,-6.5,6.5,6.7563208639621735,118,113,5,39,0,1,0,1,1,1,6.5,True,False,home,CLE,True,False,home_favorite,6-10,1.7563208639621735
2025-10-26-NYK-MIA,2025-10-26,,NYK,MIA,3.5,-3.5,-3.1399055123329163,115,107,8,40,1,1,1,1,0,0,3.5,False,True,home,MIA,False,True,home_underdog,3-6,11.139905512332916
2025-10-26-POR-LAC,2025-10-26,,POR,LAC,-8.5,8.5,8.284756660461426,114,107,7,41,0,0,1,1,1,1,8.5,True,False,away,POR,False,True,road_underdog,6-10,1.2847566604614258
2025-10-26-TOR-DAL,2025-10-26,,TOR,DAL,1.5,-1.5,-1.2867602109909058,139,129,10,42,1,1,1,1,0,0,1.5,False,True,home,DAL,False,True,home_underdog,0-3,11.286760210990906
2025-10-27-ATL-CHI,2025-10-27,,ATL,CHI,2.5,-2.5,-2.235268503427505,128,123,5,43,1,1,1,1,0,0,2.5,False,True,home,CHI,False,True,home_underdog,0-3,7.2352685034275055
2025-10-27-BKN-HOU,2025-10-27,,BKN,HOU,-16.5,16.5,16.732444435358047,137,109,28,44,1,1,1,1,1,1,16.5,True,False,home,HOU,True,False,home_favorite,10+,11.267555564641953
2025-10-27-BOS-NOP,2025-10-27,,BOS,NOP,4.5,-4.5,-4.61773881316185,90,122,-32,45,0,0,1,0,0,1,4.5,False,True,away,BOS,True,False,road_favorite,3-6,27.38226118683815
2025-10-27-CLE-DET,2025-10-27,,CLE,DET,1.5,-1.5,-1.2534984052181244,95,116,-21,46,0,1,0,0,0,1,1.5,False,True,home,DET,False,True,home_underdog,0-3,19.746501594781876
2025-10-27-DEN-MIN,2025-10-27,,DEN,MIN,6.5,-6.5,-6.06776374578476,114,127,-13,47,0,1,0,0,0,1,6.5,False,True,home,MIN,False,True,home_underdog,6-10,6.93223625421524
2025-10-27-MEM-GSW,2025-10-27,,MEM,GSW,-8.5,8.5,8.580799713730812,131,118,13,48,1,1,1,1,1,1,8.5,True,False,home,GSW,True,False,home_favorite,6-10,4.419200286269188
2025-10-27-OKC-DAL,2025-10-27,,OKC,DAL,9.5,-9.5,-9.544494219124315,94,101,-7,49,1,0,0,0,0,1,9.5,False,True,away,OKC,True,False,road_favorite,6-10,2.5444942191243154
2025-10-27-ORL-PHI,2025-10-27,,ORL,PHI,6.5,-6.5,-6.106125444173813,136,124,12,50,1,1,1,1,0,0,6.5,False,True,home,PHI,False,True,home_underdog,6-10,18.106125444173813
2025-10-27-PHX-UTA,2025-10-27,,PHX,UTA,-1.5,1.5,1.0849977135658264,138,134,4,51,1,0,0,1,1,1,1.5,True,False,away,PHX,False,True,road_underdog,0-3,2.9150022864341736
2025-10-27-POR-LAL,2025-10-27,,POR,LAL,3.5,-3.5,-3.777005761861801,108,122,-14,52,0,0,1,0,0,1,3.5,False,True,away,POR,True,False,road_favorite,3-6,10.222994238138199
2025-10-27-TOR-SAS,2025-10-27,,TOR,SAS,-4.5,4.5,4.332445412874222,121,103,18,53,1,0,0,1,1,1,4.5,True,False,away,TOR,False,True,road_underdog,3-6,13.667554587125778
2025-10-28-CHA-MIA,2025-10-28,,CHA,MIA,-4.5,4.5,6.029203772544861,144,117,27,54,1,1,1,1,1,1,4.5,True,False,home,MIA,True,False,home_favorite,3-6,20.97079622745514
2025-10-28-LAC-GSW,2025-10-28,,LAC,GSW,1.5,-1.5,-1.0391055345535278,98,79,19,55,1,1,1,1,0,0,1.5,False,True,home,GSW,False,True,home_underdog,0-3,20.039105534553528
2025-10-28-NYK-MIL,2025-10-28,,NYK,MIL,2.5,-2.5,-2.200483590364456,121,111,10,56,1,1,1,1,0,0,2.5,False,True,home,MIL,False,True,home_underdog,0-3,12.200483590364456
2025-10-28-PHI-WAS,2025-10-28,,PHI,WAS,4.5,-4.5,-4.16449049115181,134,139,-5,57,0,1,0,0,0,1,4.5,False,True,home,WAS,False,True,home_underdog,3-6,0.8355095088481903
2025-10-28-SAC-OKC,2025-10-28,,SAC,OKC,-8.5,8.5,8.556818466633558,107,101,6,58,0,1,0,1,1,1,8.5,True,False,home,OKC,True,False,home_favorite,6-10,2.5568184666335583
2025-10-29-ATL-BKN,2025-10-29,,ATL,BKN,8.5,-8.5,-6.090512037277222,112,117,-5,59,1,1,1,0,0,1,8.5,False,True,home,BKN,False,True,home_underdog,6-10,1.0905120372772217
2025-10-29-CLE-BOS,2025-10-29,,CLE,BOS,3.5,-3.5,-1.858166217803955,125,105,20,60,1,1,1,1,0,0,3.5,False,True,home,BOS,False,True,home_underdog,3-6,21.858166217803955
2025-10-29-HOU-TOR,2025-10-29,,HOU,TOR,5.5,-5.5,-5.615824557840824,121,139,-18,61,0,0,1,0,0,1,5.5,False,True,away,HOU,True,False,road_favorite,3-6,12.384175442159176
2025-10-29-IND-DAL,2025-10-29,,IND,DAL,-5.5,5.5,5.262472629547119,107,105,2,62,0,0,1,1,1,1,5.5,True,False,away,IND,False,True,road_underdog,3-6,3.262472629547119
2025-10-29-LAL-MIN,2025-10-29,,LAL,MIN,-7.5,7.5,7.525605972856283,115,116,-1,63,0,1,0,0,1,0,7.5,True,False,home,MIN,True,False,home_favorite,6-10,8.525605972856283
2025-10-29-MEM-PHX,2025-10-29,,MEM,PHX,1.5,-1.5,-0.5219831466674805,113,114,-1,64,1,1,1,0,0,1,1.5,False,True,home,PHX,False,True,home_underdog,0-3,0.47801685333251953
2025-10-29-NOP-DEN,2025-10-29,,NOP,DEN,-12.5,12.5,12.375784404575825,122,88,34,65,1,0,0,1,1,1,12.5,True,False,away,NOP,False,True,road_underdog,10+,21.624215595424175
2025-10-29-ORL-DET,2025-10-29,,ORL,DET,1.5,-1.5,-1.0181708633899689,135,116,19,66,1,1,1,1,0,0,1.5,False,True,home,DET,False,True,home_underdog,0-3,20.01817086338997
2025-10-29-POR-UTA,2025-10-29,,POR,UTA,3.5,-3.5,-2.109797954559326,134,136,-2,67,1,1,1,0,0,1,3.5,False,True,home,UTA,False,True,home_underdog,3-6,0.10979795455932617
2025-10-29-SAC-CHI,2025-10-29,,SAC,CHI,-4.5,4.5,4.141108930110931,126,113,13,68,1,0,0,1,1,1,4.5,True,False,away,SAC,False,True,road_underdog,3-6,8.858891069889069
2025-10-30-GSW-MIL,2025-10-30,,GSW,MIL,7.5,-7.5,-8.390916883945465,120,110,10,69,1,0,0,1,0,0,7.5,False,True,away,GSW,True,False,road_favorite,6-10,18.390916883945465
2025-10-30-MIA-SAS,2025-10-30,,MIA,SAS,-5.5,5.5,6.049193203449249,107,101,6,70,1,1,1,1,1,1,5.5,True,False,home,SAS,True,False,home_favorite,3-6,0.04919320344924927
2025-10-30-ORL-CHA,2025-10-30,,ORL,CHA,3.5,-3.5,-3.4809869416058064,107,123,-16,71,0,1,0,0,0,1,3.5,False,True,home,CHA,False,True,home_underdog,3-6,12.519013058394194
2025-10-30-WAS-OKC,2025-10-30,,WAS,OKC,-15.5,15.5,15.424947150051594,127,108,19,72,1,0,0,1,1,1,15.5,True,False,away,WAS,False,True,road_underdog,10+,3.575052849948406
2025-10-31-ATL-IND,2025-10-31,,ATL,IND,2.5,-2.5,-2.27522474527359,108,128,-20,73,0,1,0,0,0,1,2.5,False,True,home,IND,False,True,home_underdog,0-3,17.72477525472641
2025-10-31-BOS-PHI,2025-10-31,,BOS,PHI,1.5,-1.5,-1.4858371950685978,108,109,-1,74,1,1,1,0,0,1,1.5,False,True,home,PHI,False,True,home_underdog,0-3,0.4858371950685978
2025-10-31-DEN-POR,2025-10-31,,DEN,POR,5.5,-5.5,-5.052708804607391,109,107,2,75,1,1,1,1,0,0,5.5,False,True,home,POR,False,True,home_underdog,3-6,7.052708804607391
2025-10-31-LAL-MEM,2025-10-31,,LAL,MEM,1.5,-1.5,-0.421427845954895,112,117,-5,76,0,1,0,0,0,1,1.5,False,True,home,MEM,False,True,home_underdog,0-3,4.578572154045105
2025-10-31-NOP-LAC,2025-10-31,,NOP,LAC,-10.5,10.5,10.385491952300072,126,124,2,77,0,0,1,1,1,1,10.5,True,False,away,NOP,False,True,road_underdog,10+,8.385491952300072
2025-10-31-NYK-CHI,2025-10-31,,NYK,CHI,4.5,-4.5,-4.218720495700836,135,125,10,78,1,1,1,1,0,0,4.5,False,True,home,CHI,False,True,home_underdog,3-6,14.218720495700836
2025-10-31-TOR-CLE,2025-10-31,,TOR,CLE,-4.5,4.5,4.457288488745689,101,112,-11,79,0,0,1,0,1,0,4.5,True,False,away,TOR,False,True,road_underdog,3-6,15.45728848874569
2025-10-31-UTA-PHX,2025-10-31,,UTA,PHX,-3.5,3.5,5.147074699401856,118,96,22,80,1,1,1,1,1,1,3.5,True,False,home,PHX,True,False,home_favorite,3-6,16.852925300598145
