game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,game_index,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,spread_abs,home_favored,away_favored,pick_side,pick_team,pick_is_favorite,pick_is_underdog,pick_location_bucket,spread_bucket,abs_error
2025-10-21-GSW-LAL,2025-10-21,,GSW,LAL,2.5,-2.5,-2.3827754706144333,109,119,-10,1,0,1,0,0,0,1,2.5,False,True,home,LAL,False,True,home_underdog,0-3,7.617224529385567
2025-10-21-HOU-OKC,2025-10-21,,HOU,OKC,-6.5,6.5,7.992733716964722,125,124,1,2,0,1,0,1,1,1,6.5,True,False,home,OKC,True,False,home_favorite,6-10,6.992733716964722
2025-10-22-BKN-CHA,2025-10-22,,BKN,CHA,-5.5,5.5,5.435467682778835,136,117,19,3,1,0,0,1,1,1,5.5,True,False,away,BKN,False,True,road_underdog,3-6,13.564532317221165
2025-10-22-CLE-NYK,2025-10-22,,CLE,NYK,1.5,-1.5,-1.235230267047882,119,111,8,4,1,1,1,1,0,0,1.5,False,True,home,NYK,False,True,home_underdog,0-3,9.235230267047882
2025-10-22-DET-CHI,2025-10-22,,DET,CHI,2.5,-2.5,-2.361578226089477,115,111,4,5,1,1,1,1,0,0,2.5,False,True,home,CHI,False,True,home_underdog,0-3,6.3615782260894775
2025-10-22-LAC-UTA,2025-10-22,,LAC,UTA,10.5,-10.5,-10.45534286648035,129,108,21,6,1,1,1,1,0,0,10.5,False,True,home,UTA,False,True,home_underdog,10+,31.45534286648035
2025-10-22-MIA-ORL,2025-10-22,,MIA,ORL,-8.5,8.5,8.579073414206505,125,121,4,7,0,1,0,1,1,1,8.5,True,False,home,ORL,True,False,home_favorite,6-10,4.579073414206505
2025-10-22-MIN-POR,2025-10-22,,MIN,POR,5.5,-5.5,-5.731336265802383,114,118,-4,8,1,0,0,0,0,1,5.5,False,True,away,MIN,True,False,road_favorite,3-6,1.7313362658023834
2025-10-22-NOP-MEM,2025-10-22,,NOP,MEM,-3.5,3.5,3.369661033153534,128,122,6,9,1,0,0,1,1,1,3.5,True,False,away,NOP,False,True,road_underdog,3-6,2.630338966846466
2025-10-22-PHI-BOS,2025-10-22,,PHI,BOS,-5.5,5.5,5.976923257112503,116,117,-1,10,0,1,0,0,1,0,5.5,True,False,home,BOS,True,False,home_favorite,3-6,6.976923257112503
2025-10-22-SAC-PHX,2025-10-22,,SAC,PHX,-3.5,3.5,3.542312815785408,120,116,4,11,1,1,1,1,1,1,3.5,True,False,home,PHX,True,False,home_favorite,3-6,0.457687184214592
2025-10-22-SAS-DAL,2025-10-22,,SAS,DAL,-4.5,4.5,4.584408819675446,92,125,-33,12,0,1,0,0,1,0,4.5,True,False,home,DAL,True,False,home_favorite,3-6,37.584408819675446
2025-10-22-TOR-ATL,2025-10-22,,TOR,ATL,-5.5,5.5,5.657406866550446,118,138,-20,13,0,1,0,0,1,0,5.5,True,False,home,ATL,True,False,home_favorite,3-6,25.657406866550446
2025-10-22-WAS-MIL,2025-10-22,,WAS,MIL,-10.5,10.5,10.695211350917816,133,120,13,14,1,1,1,1,1,1,10.5,True,False,home,MIL,True,False,home_favorite,10+,2.304788649082184
2025-10-23-DEN-GSW,2025-10-23,,DEN,GSW,-1.5,1.5,2.1687861680984497,137,131,6,15,1,1,1,1,1,1,1.5,True,False,home,GSW,True,False,home_favorite,0-3,3.8312138319015503
2025-10-23-OKC-IND,2025-10-23,,OKC,IND,7.5,-7.5,-7.430438220500946,135,141,-6,16,1,1,1,0,0,1,7.5,False,True,home,IND,False,True,home_underdog,6-10,1.430438220500946
2025-10-24-ATL-ORL,2025-10-24,,ATL,ORL,-5.5,5.5,5.7717305123806,107,111,-4,17,0,1,0,0,1,0,5.5,True,False,home,ORL,True,False,home_favorite,3-6,9.7717305123806
2025-10-24-BOS-NYK,2025-10-24,,BOS,NYK,-3.5,3.5,3.964431971311569,105,95,10,18,1,1,1,1,1,1,3.5,True,False,home,NYK,True,False,home_favorite,3-6,6.035568028688431
2025-10-24-CLE-BKN,2025-10-24,,CLE,BKN,11.5,-11.5,-11.035514324903488,124,131,-7,19,1,1,1,0,0,1,11.5,False,True,home,BKN,False,True,home_underdog,10+,4.035514324903488
2025-10-24-DET-HOU,2025-10-24,,DET,HOU,-6.5,6.5,6.823962569236755,111,115,-4,20,0,1,0,0,1,0,6.5,True,False,home,HOU,True,False,home_favorite,6-10,10.823962569236755
