game_id,date,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2025-10-21-HOU-OKC,2025-10-21,HOU,OKC,-6.5,6.5,7.770354390144348,125,124,1,0,1,0,1,1,1,6.770354390144348
2025-10-21-GSW-LAL,2025-10-21,GSW,LAL,2.5,-2.5,-2.2577804028987885,109,119,-10,0,1,0,0,0,1,7.7422195971012115
2025-10-22-CLE-NYK,2025-10-22,CLE,NYK,1.5,-1.5,-1.3268446624279022,119,111,8,1,1,1,1,0,0,9.326844662427902
2025-10-22-SAS-DAL,2025-10-22,SAS,DAL,-4.5,4.5,4.480873424559832,92,125,-33,0,0,1,0,1,0,37.48087342455983
2025-10-22-BKN-CHA,2025-10-22,BKN,CHA,-5.5,5.5,4.729308307170868,136,117,19,1,0,0,1,1,1,14.270691692829132
2025-10-22-MIA-ORL,2025-10-22,MIA,ORL,-8.5,8.5,7.458096146583557,125,121,4,0,0,1,1,1,1,3.458096146583557
2025-10-22-TOR-ATL,2025-10-22,TOR,ATL,-5.5,5.5,5.539071977138519,118,138,-20,0,1,0,0,1,0,25.53907197713852
2025-10-22-PHI-BOS,2025-10-22,PHI,BOS,-5.5,5.5,6.073815643787384,116,117,-1,0,1,0,0,1,0,7.073815643787384
2025-10-22-DET-CHI,2025-10-22,DET,CHI,2.5,-2.5,-2.3305846005678177,115,111,4,1,1,1,1,0,0,6.330584600567818
2025-10-22-NOP-MEM,2025-10-22,NOP,MEM,-3.5,3.5,2.819883227348328,128,122,6,1,0,0,1,1,1,3.180116772651672
2025-10-22-WAS-MIL,2025-10-22,WAS,MIL,-10.5,10.5,10.756506264209747,133,120,13,1,1,1,1,1,1,2.2434937357902527
2025-10-22-LAC-UTA,2025-10-22,LAC,UTA,10.5,-10.5,-10.893370389938354,129,108,21,1,0,0,1,0,0,31.893370389938354
2025-10-22-SAC-PHX,2025-10-22,SAC,PHX,-3.5,3.5,3.4470537677407265,120,116,4,1,0,0,1,1,1,0.5529462322592735
2025-10-22-MIN-POR,2025-10-22,MIN,POR,5.5,-5.5,-5.1367636024951935,114,118,-4,1,1,1,0,0,1,1.1367636024951935
2025-10-23-OKC-IND,2025-10-23,OKC,IND,7.5,-7.5,-7.174088269472122,135,141,-6,1,1,1,0,0,1,1.1740882694721222
2025-10-23-DEN-GSW,2025-10-23,DEN,GSW,-1.5,1.5,2.1521624326705933,137,131,6,1,1,1,1,1,1,3.8478375673294067
2025-10-27-CLE-DET,2025-10-27,CLE,DET,1.5,-1.5,-1.054545521736145,95,116,-21,0,1,0,0,0,1,19.945454478263855
2025-10-27-DEN-MIN,2025-10-27,DEN,MIN,6.5,-6.5,-7.2709721326828,114,127,-13,0,0,1,0,0,1,5.7290278673172
2025-10-27-ORL-PHI,2025-10-27,ORL,PHI,6.5,-6.5,-6.458133868873119,136,124,12,1,1,1,1,0,0,18.45813386887312
2025-10-27-ATL-CHI,2025-10-27,ATL,CHI,2.5,-2.5,-2.515166847035289,128,123,5,1,0,0,1,0,0,7.515166847035289
2025-10-27-BKN-HOU,2025-10-27,BKN,HOU,-16.5,16.5,16.74224616587162,137,109,28,1,1,1,1,1,1,11.25775383412838
2025-10-27-BOS-NOP,2025-10-27,BOS,NOP,4.5,-4.5,-4.606852263212204,90,122,-32,0,0,1,0,0,1,27.393147736787796
2025-10-27-TOR-SAS,2025-10-27,TOR,SAS,-4.5,4.5,4.462639160454273,121,103,18,1,0,0,1,1,1,13.537360839545727
2025-10-27-OKC-DAL,2025-10-27,OKC,DAL,9.5,-9.5,-9.32365158200264,94,101,-7,1,1,1,0,0,1,2.3236515820026398
2025-10-27-PHX-UTA,2025-10-27,PHX,UTA,-1.5,1.5,0.9868426322937012,138,134,4,1,0,0,1,1,1,3.013157367706299
2025-10-27-MEM-GSW,2025-10-27,MEM,GSW,-8.5,8.5,8.576150931417942,131,118,13,1,1,1,1,1,1,4.423849068582058
2025-10-27-POR-LAL,2025-10-27,POR,LAL,3.5,-3.5,-3.816585153341293,108,122,-14,0,0,1,0,0,1,10.183414846658707
2025-10-24-BOS-NYK,2025-10-24,BOS,NYK,-3.5,3.5,3.926694691181183,105,95,10,1,1,1,1,1,1,6.073305308818817
2025-10-24-MIN-LAL,2025-10-24,MIN,LAL,1.5,-1.5,-1.0919837951660156,128,110,18,1,1,1,1,0,0,19.091983795166016
2025-10-24-ATL-ORL,2025-10-24,ATL,ORL,-5.5,5.5,4.7028732895851135,107,111,-4,0,0,1,0,1,0,8.702873289585114
2025-10-24-CLE-BKN,2025-10-24,CLE,BKN,11.5,-11.5,-11.45331559330225,124,131,-7,1,1,1,0,0,1,4.45331559330225
2025-10-24-MIL-TOR,2025-10-24,MIL,TOR,-2.5,2.5,2.51803289540112,116,122,-6,0,1,0,0,1,0,8.51803289540112
2025-10-24-DET-HOU,2025-10-24,DET,HOU,-6.5,6.5,6.178363084793091,111,115,-4,0,0,1,0,1,0,10.17836308479309
2025-10-24-MIA-MEM,2025-10-24,MIA,MEM,-3.5,3.5,3.19691601395607,114,146,-32,0,0,1,0,1,0,35.19691601395607
2025-10-24-SAS-NOP,2025-10-24,SAS,NOP,3.5,-3.5,-3.5929146111011505,116,120,-4,0,0,1,0,0,1,0.4070853888988495
2025-10-24-WAS-DAL,2025-10-24,WAS,DAL,-8.5,8.5,8.097946524620056,107,117,-10,0,0,1,0,1,0,18.097946524620056
2025-10-24-GSW-POR,2025-10-24,GSW,POR,2.5,-2.5,-2.1187289655208588,139,119,20,1,1,1,1,0,0,22.11872896552086
2025-10-24-UTA-SAC,2025-10-24,UTA,SAC,-5.5,5.5,5.311482146382332,105,104,1,0,0,1,1,1,1,4.311482146382332
2025-10-24-PHX-LAC,2025-10-24,PHX,LAC,-10.5,10.5,10.294023245573044,129,102,27,1,0,0,1,1,1,16.705976754426956
2025-10-31-ATL-IND,2025-10-31,ATL,IND,2.5,-2.5,-2.7084862142801285,108,128,-20,0,0,1,0,0,1,17.29151378571987
2025-10-31-BOS-PHI,2025-10-31,BOS,PHI,1.5,-1.5,-1.609603486955166,108,109,-1,1,0,0,0,0,1,0.6096034869551661
2025-10-31-TOR-CLE,2025-10-31,TOR,CLE,-4.5,4.5,4.80854657292366,101,112,-11,0,1,0,0,1,0,15.80854657292366
2025-10-31-NYK-CHI,2025-10-31,NYK,CHI,4.5,-4.5,-4.147906064987183,135,125,10,1,1,1,1,0,0,14.147906064987183
2025-10-31-LAL-MEM,2025-10-31,LAL,MEM,1.5,-1.5,-1.036823183298111,112,117,-5,0,1,0,0,0,1,3.963176816701889
2025-10-31-UTA-PHX,2025-10-31,UTA,PHX,-3.5,3.5,3.452833339571953,118,96,22,1,0,0,1,1,1,18.547166660428047
2025-10-31-DEN-POR,2025-10-31,DEN,POR,5.5,-5.5,-4.486642003059387,109,107,2,1,1,1,1,0,0,6.486642003059387
2025-10-31-NOP-LAC,2025-10-31,NOP,LAC,-10.5,10.5,10.315635979175568,126,124,2,0,0,1,1,1,1,8.315635979175568
2025-11-07-BOS-ORL,2025-11-07,BOS,ORL,-3.5,3.5,3.843113541603088,123,110,13,1,1,1,1,1,1,9.156886458396912
2025-11-07-CLE-WAS,2025-11-07,CLE,WAS,13.5,-13.5,-13.718410074710846,115,148,-33,0,0,1,0,0,1,19.281589925289154
2025-11-07-TOR-ATL,2025-11-07,TOR,ATL,-2.5,2.5,2.3614338487386703,97,109,-12,0,0,1,0,1,0,14.36143384873867
2025-11-07-DET-BKN,2025-11-07,DET,BKN,10.5,-10.5,-10.96778917312622,107,125,-18,0,0,1,0,0,1,7.032210826873779
2025-11-07-HOU-SAS,2025-11-07,HOU,SAS,3.5,-3.5,-2.816164374351501,121,110,11,1,1,1,1,0,0,13.816164374351501
2025-11-07-CHA-MIA,2025-11-07,CHA,MIA,-7.5,7.5,7.376927860081196,126,108,18,1,0,0,1,1,1,10.623072139918804
2025-11-07-DAL-MEM,2025-11-07,DAL,MEM,-4.5,4.5,4.020758301019669,118,104,14,1,0,0,1,1,1,9.979241698980331
2025-11-07-CHI-MIL,2025-11-07,CHI,MIL,-4.5,4.5,4.376735433936119,126,110,16,1,0,0,1,1,1,11.623264566063881
2025-11-07-UTA-MIN,2025-11-07,UTA,MIN,-15.5,15.5,14.790249645709991,137,97,40,1,0,0,1,1,1,25.20975035429001
2025-11-07-GSW-DEN,2025-11-07,GSW,DEN,-9.5,9.5,9.647238910198212,129,104,25,1,1,1,1,1,1,15.352761089801788
2025-11-07-OKC-SAC,2025-11-07,OKC,SAC,11.5,-11.5,-11.639415383338928,101,132,-31,0,0,1,0,0,1,19.360584616661072
2025-10-25-CHI-ORL,2025-10-25,CHI,ORL,-6.5,6.5,5.56847620010376,98,110,-12,0,0,1,0,1,0,17.56847620010376
2025-10-25-OKC-ATL,2025-10-25,OKC,ATL,8.5,-8.5,-8.2646464407444,100,117,-17,0,1,0,0,0,1,8.7353535592556
2025-10-25-CHA-PHI,2025-10-25,CHA,PHI,-4.5,4.5,4.583967454731464,125,121,4,0,1,0,1,1,1,0.5839674547314644
2025-10-25-IND-MEM,2025-10-25,IND,MEM,-1.5,1.5,1.01955845952034,128,103,25,1,0,0,1,1,1,23.98044154047966
2025-10-25-PHX-DEN,2025-10-25,PHX,DEN,-12.5,12.5,12.918583542108536,133,111,22,1,1,1,1,1,1,9.081416457891464
2025-10-26-BKN-SAS,2025-10-26,BKN,SAS,-10.5,10.5,10.592313028872011,118,107,11,1,1,1,1,1,1,0.4076869711279887
2025-10-26-BOS-DET,2025-10-26,BOS,DET,-2.5,2.5,2.6204092130064964,119,113,6,1,1,1,1,1,1,3.3795907869935036
2025-10-26-MIL-CLE,2025-10-26,MIL,CLE,-6.5,6.5,6.815545171499252,118,113,5,0,1,0,1,1,1,1.8155451714992523
2025-10-26-NYK-MIA,2025-10-26,NYK,MIA,3.5,-3.5,-2.903876006603241,115,107,8,1,1,1,1,0,0,10.903876006603241
2025-10-26-CHA-WAS,2025-10-26,CHA,WAS,-1.5,1.5,1.145172119140625,113,139,-26,0,0,1,0,1,0,27.145172119140625
2025-10-26-IND-MIN,2025-10-26,IND,MIN,-11.5,11.5,11.197666138410568,114,110,4,0,0,1,1,1,1,7.197666138410568
2025-10-26-TOR-DAL,2025-10-26,TOR,DAL,1.5,-1.5,-1.2470950484275818,139,129,10,1,1,1,1,0,0,11.247095048427582
2025-10-26-POR-LAC,2025-10-26,POR,LAC,-8.5,8.5,8.324819475412369,114,107,7,0,0,1,1,1,1,1.3248194754123688
2025-10-26-LAL-SAC,2025-10-26,LAL,SAC,-3.5,3.5,3.39293459802866,120,127,-7,0,0,1,0,1,0,10.39293459802866
2025-10-28-PHI-WAS,2025-10-28,PHI,WAS,4.5,-4.5,-4.023418515920639,134,139,-5,0,1,0,0,0,1,0.976581484079361
2025-10-28-CHA-MIA,2025-10-28,CHA,MIA,-4.5,4.5,5.457881510257721,144,117,27,1,1,1,1,1,1,21.54211848974228
2025-10-28-NYK-MIL,2025-10-28,NYK,MIL,2.5,-2.5,-2.535504572093487,121,111,10,1,0,0,1,0,0,12.535504572093487
2025-10-28-SAC-OKC,2025-10-28,SAC,OKC,-8.5,8.5,8.547819383442402,107,101,6,0,1,0,1,1,1,2.547819383442402
2025-10-28-LAC-GSW,2025-10-28,LAC,GSW,1.5,-1.5,-1.2234549820423126,98,79,19,1,1,1,1,0,0,20.223454982042313
2025-10-29-CLE-BOS,2025-10-29,CLE,BOS,3.5,-3.5,-2.7433379888534546,125,105,20,1,1,1,1,0,0,22.743337988853455
2025-10-29-ORL-DET,2025-10-29,ORL,DET,1.5,-1.5,-1.1380808353424072,135,116,19,1,1,1,1,0,0,20.138080835342407
2025-10-29-ATL-BKN,2025-10-29,ATL,BKN,8.5,-8.5,-7.609584629535675,112,117,-5,1,1,1,0,0,1,2.609584629535675
2025-10-29-HOU-TOR,2025-10-29,HOU,TOR,5.5,-5.5,-5.119493186473846,121,139,-18,0,1,0,0,0,1,12.880506813526154
2025-10-29-SAC-CHI,2025-10-29,SAC,CHI,-4.5,4.5,4.675164073705673,126,113,13,1,1,1,1,1,1,8.324835926294327
2025-10-29-IND-DAL,2025-10-29,IND,DAL,-5.5,5.5,5.039164572954178,107,105,2,0,0,1,1,1,1,3.039164572954178
2025-10-29-NOP-DEN,2025-10-29,NOP,DEN,-12.5,12.5,12.27654792368412,122,88,34,1,0,0,1,1,1,21.72345207631588
2025-10-29-POR-UTA,2025-10-29,POR,UTA,3.5,-3.5,-3.4684441313147545,134,136,-2,1,1,1,0,0,1,1.4684441313147545
2025-10-29-LAL-MIN,2025-10-29,LAL,MIN,-7.5,7.5,5.991025805473328,115,116,-1,0,0,1,0,1,0,6.991025805473328
2025-10-29-MEM-PHX,2025-10-29,MEM,PHX,1.5,-1.5,-1.2413365244865415,113,114,-1,1,1,1,0,0,1,0.24133652448654153
2025-10-30-ORL-CHA,2025-10-30,ORL,CHA,3.5,-3.5,-3.6538558453321457,107,123,-16,0,0,1,0,0,1,12.346144154667854
2025-10-30-GSW-MIL,2025-10-30,GSW,MIL,7.5,-7.5,-7.588062010705471,120,110,10,1,0,0,1,0,0,17.58806201070547
2025-10-30-WAS-OKC,2025-10-30,WAS,OKC,-15.5,15.5,15.79292607307434,127,108,19,1,1,1,1,1,1,3.207073926925659
2025-10-30-MIA-SAS,2025-10-30,MIA,SAS,-5.5,5.5,5.838122934103012,107,101,6,1,1,1,1,1,1,0.16187706589698792
2025-11-01-SAC-MIL,2025-11-01,SAC,MIL,-6.5,6.5,6.487007678486407,133,135,-2,0,0,1,0,1,0,8.487007678486407
