player_name,date,season,opponent,home_away,win_loss,team_score,opponent_score,minutes,prop_line,assists,over_under_result,points,rebounds,threes_scored,steals,blocks,fgm,fga,fg_pct,ftm,fta,ft_pct,threes_made,threes_attempted,three_pct,spread_team,spread_value,SYSTEM NAME,LIFETIME NET UNITS,RECORD,FOLLOW,DATE,PLAYER,LINE,RESULT
Nikola Jokic,11/17,25-26,CHI,Home,L,130.0,127.0,38.0,10.5,13.0,O,36.0,18.0,1.0,1.0,2.0,13.0,27.0,48.0,9.0,12.0,75.0,1.0,7.0,14.0,CHI,13.5,,,,,,,,
Nikola Jokic,11/15,25-26,MIN,Away,W,123.0,112.0,37.0,10.5,11.0,O,27.0,12.0,3.0,2.0,1.0,8.0,15.0,53.0,8.0,8.0,100.0,3.0,6.0,50.0,DEN,1.0,,,,,,,,
Nikola Jokic,11/12,25-26,LAC,Away,W,130.0,116.0,33.0,10.5,6.0,U,55.0,12.0,5.0,1.0,1.0,18.0,23.0,78.0,14.0,16.0,88.0,5.0,6.0,83.0,DEN,-4.5,,,,,,,,
Nikola Jokic,11/11,25-26,SAC,Away,W,122.0,108.0,32.0,10.5,7.0,U,35.0,15.0,1.0,2.0,0.0,16.0,19.0,84.0,2.0,3.0,67.0,1.0,2.0,50.0,DEN,-6.5,,,,,,,,
Nikola Jokic,11/8,25-26,IND,Home,W,117.0,100.0,31.0,9.5,14.0,O,32.0,14.0,1.0,1.0,0.0,10.0,14.0,71.0,11.0,12.0,92.0,1.0,1.0,100.0,DEN,-12.0,,,,,,,,
Nikola Jokic,11/7,25-26,GSW,Home,W,129.0,104.0,28.0,10.5,9.0,U,26.0,9.0,2.0,0.0,1.0,12.0,15.0,80.0,0.0,0.0,0.0,2.0,3.0,67.0,DEN,-5.5,,,,,,,,
Nikola Jokic,11/5,25-26,MIA,Home,W,122.0,112.0,36.0,9.5,16.0,O,33.0,15.0,2.0,3.0,0.0,12.0,18.0,67.0,7.0,8.0,88.0,2.0,5.0,40.0,DEN,-8.5,,,,,,,,
Nikola Jokic,11/3,25-26,SAC,Home,W,130.0,124.0,36.0,9.5,14.0,O,34.0,7.0,4.0,4.0,2.0,14.0,22.0,64.0,2.0,3.0,67.0,4.0,10.0,40.0,SAC,10.5,,,,,,,,
Nikola Jokic,10/31,25-26,POR,Away,L,109.0,107.0,37.0,10.5,9.0,U,21.0,14.0,2.0,1.0,2.0,7.0,10.0,70.0,5.0,7.0,71.0,2.0,3.0,67.0,POR,4.5,,,,,,,,
Nikola Jokic,10/29,25-26,NOR,Home,W,122.0,88.0,27.0,9.5,10.0,O,21.0,12.0,1.0,2.0,0.0,10.0,15.0,67.0,0.0,0.0,0.0,1.0,2.0,50.0,DEN,-11.5,,,,,,,,
Nikola Jokic,10/27,25-26,MIN,Away,W,127.0,114.0,36.0,9.5,10.0,O,25.0,19.0,0.0,2.0,1.0,9.0,10.0,90.0,7.0,7.0,100.0,0.0,0.0,0.0,DEN,-6.5,,,,,,,,
Nikola Jokic,10/25,25-26,PHO,Home,W,133.0,111.0,32.0,9.5,15.0,O,14.0,14.0,0.0,3.0,0.0,5.0,8.0,63.0,4.0,4.0,100.0,0.0,3.0,0.0,DEN,-13.0,,,,,,,,
Nikola Jokic,10/23,25-26,GSW,Away,L,137.0,131.0,40.0,8.5,10.0,O,21.0,13.0,2.0,1.0,1.0,8.0,23.0,35.0,3.0,4.0,75.0,2.0,13.0,15.0,GSW,-1.5,,,,,,,,
Nikola Jokic,5/15,24-25,OKC,Home,W,119.0,107.0,40.0,8.5,8.0,U,29.0,14.0,1.0,2.0,1.0,9.0,14.0,64.0,10.0,12.0,83.0,1.0,3.0,33.0,DEN,5.0,,,,,,,,
Nikola Jokic,5/13,24-25,OKC,Away,L,112.0,105.0,44.0,8.5,5.0,U,44.0,15.0,5.0,2.0,0.0,17.0,25.0,68.0,5.0,5.0,100.0,5.0,7.0,71.0,DEN,10.0,,,,,,,,
Nikola Jokic,5/11,24-25,OKC,Home,L,92.0,87.0,42.0,8.5,3.0,U,27.0,13.0,2.0,4.0,0.0,7.0,22.0,32.0,11.0,14.0,79.0,2.0,8.0,25.0,DEN,7.0,,,,,,,,
Nikola Jokic,5/9,24-25,OKC,Home,W,113.0,104.0,43.0,9.5,6.0,U,20.0,16.0,0.0,2.0,2.0,8.0,25.0,32.0,4.0,4.0,100.0,0.0,10.0,0.0,DEN,6.0,,,,,,,,
Nikola Jokic,5/7,24-25,OKC,Away,L,149.0,106.0,32.0,8.5,6.0,U,17.0,8.0,2.0,1.0,1.0,6.0,16.0,38.0,3.0,5.0,60.0,2.0,4.0,50.0,OKC,-10.0,,,,,,,,
Nikola Jokic,5/5,24-25,OKC,Away,W,121.0,119.0,42.0,9.5,6.0,U,42.0,22.0,2.0,1.0,2.0,15.0,29.0,52.0,10.0,13.0,77.0,2.0,6.0,33.0,DEN,10.5,,,,,,,,
