,rim_attempt_rate,corner_3_rate,non_corner_3_rate,short_mid_rate,long_mid_rate,mid_range_rate,pullup_3_rate,catch_shoot_3_rate,ftr,shooting_fouls_per_100,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100
rim_attempt_rate,1.0,-0.45778996737194333,-0.8475828707268234,-0.013150629033525391,-0.4397578046205679,-0.13573795098586242,-0.6817115263037031,-0.6716579018913515,0.6088366660639059,0.4307959918504877,-0.014358701118510323,0.25152788209747456,-0.3714610589221718,-0.21406149814711048,0.08485699663279644,-0.31218594232570934,-0.004578182333731922,0.5583654081024791,0.536568078826689,0.45499821141472047
corner_3_rate,-0.45778996737194333,1.0,0.5203972680763375,-0.5104799273287126,-0.13377705755868546,-0.4846451689392919,0.11437408265302153,0.7926585244852415,-0.48232103340854743,-0.0993450296039327,-0.017118328250892153,0.24666350189646571,0.4725213351370047,-0.3428464857192376,-0.5598809252988032,0.10742923685366397,0.08170359415994605,-0.2776945230748934,-0.42185289145942323,-0.1333915437473834
non_corner_3_rate,-0.8475828707268234,0.5203972680763375,1.0,-0.4715669271455489,0.14384238047860587,-0.3721579923947981,0.7023470352166867,0.8409397614573324,-0.5780989405087994,-0.31718046231766106,0.042695325792525905,-0.05355103458608923,0.3514322796620243,0.0272193021286135,-0.24070943606335754,0.23629273828873265,-0.012299431313123563,-0.465406002627916,-0.5054788144467939,-0.3377592432897705
short_mid_rate,-0.013150629033525391,-0.5104799273287126,-0.4715669271455489,1.0,0.3112709138850229,0.9632923573723216,-0.12898686376239638,-0.5848898404803176,0.16122994170044153,-0.09091646455079377,-0.04795696153015073,-0.372651643884604,-0.14682203624058057,0.4316570017010576,0.46283912737916655,0.07468206805163848,-0.0014768204680167614,-0.011493581008521013,0.15112945119734864,-0.07773832299528372
long_mid_rate,-0.4397578046205679,-0.13377705755868546,0.14384238047860587,0.3112709138850229,1.0,0.5549629276607714,0.3603377973851327,-0.08077503734199848,-0.14264433620764214,-0.3353283545459378,0.02731443045689373,-0.3867824910485821,-0.031277743211817685,0.27873134767283464,0.2410011644680015,0.12623412288978736,-0.028845586498046707,-0.24098093999838696,-0.1802804701504897,-0.3519642754485999
mid_range_rate,-0.13573795098586242,-0.4846451689392919,-0.3721579923947981,0.9632923573723216,0.5549629276607714,1.0,-0.01111902342618835,-0.5348083339396206,0.1008392222527056,-0.1743111208683953,-0.03426369738623216,-0.43546657658139154,-0.13735802427494792,0.4565944516108779,0.4732317679444374,0.10103349426282639,-0.00944129028485804,-0.0781353156890265,0.08136587302610734,-0.16747492788090726
pullup_3_rate,-0.6817115263037031,0.11437408265302153,0.7023470352166867,-0.12898686376239638,0.3603377973851327,-0.01111902342618835,1.0,0.2438425035994308,-0.34342585719706875,-0.4419235247137061,0.006334227276289087,-0.4712128621169117,-0.07608103575186431,0.41601918220069517,0.1562153908869075,0.3192046126782352,0.05664714764328435,-0.48192683961029004,-0.487724740675253,-0.41074183355650207
catch_shoot_3_rate,-0.6716579018913515,0.7926585244852415,0.8409397614573324,-0.5848898404803176,-0.08077503734199848,-0.5348083339396206,0.2438425035994308,1.0,-0.5745611684591068,-0.12973579632687726,0.036626650772094246,0.2697854050522264,0.5557860159130525,-0.2973032581758576,-0.5078531552371376,0.11212583132265358,-0.018538090876490124,-0.31928993744532624,-0.4022762488157864,-0.17849203414383943
ftr,0.6088366660639059,-0.48232103340854743,-0.5780989405087994,0.16122994170044153,-0.14264433620764214,0.1008392222527056,-0.34342585719706875,-0.5745611684591068,1.0,0.19193370124341974,0.026167629149837383,-0.013238307364865186,-0.35801675874787414,-0.0027404400520451328,0.2625234667551829,-0.22984942443153406,-0.0725847250959204,0.3416598987089479,0.44889808795629016,0.22456420350319575
shooting_fouls_per_100,0.4307959918504877,-0.0993450296039327,-0.31718046231766106,-0.09091646455079377,-0.3353283545459378,-0.1743111208683953,-0.4419235247137061,-0.12973579632687726,0.19193370124341974,1.0,-0.02068348757026839,0.3522899727267292,-0.1009356831216269,-0.3572455827360368,-0.09180856261944315,-0.32266279582495894,-0.045088102089311,0.4228794756861216,0.2600130099227752,0.8847379402463542
